Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,120112,16:00:00,, ,,,,,,,,,1,0,,,,,1295.5
,SPX 12M1040D13,JanW2 1040 Puts,,,1040,P,120113,,0.14,,,,,,0,0,1.137,-13.613,-0.029,0,
,SPX 12M1040,Jan 1040 Puts,120112,16:00:00,1040,P,120120,,0.06,,0.05,,649,8823,-0.026,0,1.231,-3.162,-0.058,0,-1
,SPX 12N1040,Feb 1040 Puts,120112,16:00:00,1040,P,120217,0.357,1.14,1.05,1.5,0.114,2,2851,-0.876,0.01,20.566,-10.604,-2.781,0,1.25
,SPX 12O1040,Mar 1040 Puts,120112,16:00:00,1040,P,120316,0.333,4.12,3.6,4.8,0.019,,111,-2.451,0.021,57.574,-15.025,-12.433,0,-1
,SPX 12M1045D13,JanW2 1045 Puts,,,1045,P,120113,,0.14,,,,,,0,0,1.149,-13.494,-0.029,0,
,SPX 12M1045,Jan 1045 Puts,120112,16:00:00,1045,P,120120,,0.06,,0.05,,102,9133,-0.027,0,1.283,-3.247,-0.061,0,-1
,SPX 12N1045,Feb 1045 Puts,120112,16:00:00,1045,P,120217,0.353,1.21,1.1,1.6,0.116,,581,-0.937,0.01,21.567,-11.077,-2.942,0,-1
,SPX 12O1045,Mar 1045 Puts,120112,16:00:00,1045,P,120316,0.33,4.3,3.8,5,0.023,,1,-2.587,0.022,59.608,-15.421,-12.989,0,-1
,SPX 12M1050D13,JanW2 1050 Puts,120112,16:00:00,1050,P,120113,,0.14,,0.05,,,1000,0,0,1.161,-13.376,-0.03,0,-1
,SPX 12M1050,Jan 1050 Puts,120112,16:00:00,1050,P,120120,,0.06,,0.05,,2822,64116,-0.03,0,1.339,-3.337,-0.064,0,0.05
,SPX 12N1050,Feb 1050 Puts,120112,16:00:00,1050,P,120217,0.345,1.27,1.1,1.5,0.024,998,24400,-1.004,0.011,22.621,-10.743,-3.113,0,1.25
,SPX 12O1050,Mar 1050 Puts,120112,16:00:00,1050,P,120316,0.327,4.48,3.9,5.2,0.016,3276,88110,-2.73,0.024,61.712,-15.746,-13.572,0,4.5
,SPX 12P1050,Apr 1050 Puts,120112,16:00:00,1050,P,120420,0.315,9.54,8.9,10.4,0.013,7005,1589,-4.641,0.033,110.044,-17.544,-34.287,0.003,9.8
,SPX 12R1050,Jun 1050 Puts,120112,16:00:00,1050,P,120615,0.307,18.76,17,20.5,0.003,1000,36628,-7.147,0.042,179.895,-17.79,-80.161,0.016,20
,SPX 12U1050,Sep 1050 Puts,120112,16:00:00,1050,P,120921,0.297,34.23,32.3,36,-0.002,,5220,-10.052,0.047,276.996,-16.113,-180.419,0.05,-1
,SPX 12M1055D13,JanW2 1055 Puts,,,1055,P,120113,,0.13,,,,,,0,0,1.174,-13.26,-0.03,0,
,SPX 12M1055,Jan 1055 Puts,120112,16:00:00,1055,P,120120,,0.07,,0.1,,15,2256,-0.032,0,1.398,-3.433,-0.067,0,-1
,SPX 12N1055,Feb 1055 Puts,120112,16:00:00,1055,P,120217,0.345,1.34,1.25,1.7,0.104,,456,-1.076,0.012,23.731,-11.773,-3.295,0,-1
,SPX 12O1055,Mar 1055 Puts,120112,16:00:00,1055,P,120316,0.325,4.68,4.2,5.4,0.026,,,-2.882,0.025,63.887,-16.321,-14.183,0,-1
,SPX 12M1060D13,JanW2 1060 Puts,,,1060,P,120113,,0.13,,,,,,0,0,1.188,-13.145,-0.03,0,
,SPX 12M1060,Jan 1060 Puts,120112,16:00:00,1060,P,120120,,0.07,0.05,0.1,,29,5493,-0.035,0,1.462,-3.535,-0.07,0,0.05
,SPX 12N1060,Feb 1060 Puts,120112,16:00:00,1060,P,120217,0.331,1.42,0.8,1.8,-0.085,100,1029,-1.154,0.013,24.9,-10.586,-3.49,0,1.4
,SPX 12O1060,Mar 1060 Puts,120112,16:00:00,1060,P,120316,0.322,4.88,4.4,5.6,0.025,,5464,-3.043,0.027,66.136,-16.745,-14.824,0.001,-1
,SPX 12M1065D13,JanW2 1065 Puts,,,1065,P,120113,,0.13,,,,,,0,0,1.202,-13.031,-0.031,0,
,SPX 12M1065,Jan 1065 Puts,120112,16:00:00,1065,P,120120,,0.07,,0.1,,,3691,-0.037,0,1.53,-3.643,-0.074,0,-1
,SPX 12N1065,Feb 1065 Puts,120112,16:00:00,1065,P,120217,0.332,1.5,1.1,1.9,0,,524,-1.237,0.014,26.131,-11.793,-3.698,0,-1
,SPX 12O1065,Mar 1065 Puts,120112,16:00:00,1065,P,120316,0.319,5.1,4.6,5.8,0.02,,64,-3.213,0.029,68.46,-17.096,-15.496,0.001,-1
,SPX 12M1070D13,JanW2 1070 Puts,,,1070,P,120113,,0.13,,,,,,0,0,1.217,-12.918,-0.031,0,
,SPX 12M1070,Jan 1070 Puts,120112,16:00:00,1070,P,120120,,0.07,0.05,0.1,,2,5932,-0.041,0.001,1.603,-3.757,-0.078,0,0.1
,SPX 12N1070,Feb 1070 Puts,120112,16:00:00,1070,P,120217,0.331,1.58,1.3,1.95,0.038,200,1105,-1.328,0.016,27.427,-12.584,-3.919,0,2
,SPX 12O1070,Mar 1070 Puts,120112,16:00:00,1070,P,120316,0.313,5.32,4.4,6,-0.023,,42,-3.393,0.031,70.86,-17.035,-16.201,0.001,-1
,SPX 12A1075D13,JanW2 1075 Calls,120112,16:00:00,1075,C,120113,,220.83,217.9,223.2,-0.001,,,100,0,3.019,-44.964,5.798,1,-1
,SPX 12A1075,Jan 1075 Calls,120112,16:00:00,1075,C,120120,,220.23,219.3,222.2,0.002,,1501,99.867,0.001,4.099,-11.28,23.321,1,-1
,SPX 12B1075,Feb 1075 Calls,120112,16:00:00,1075,C,120217,,221.91,217.6,222.1,-0.009,,100,98.317,0.014,45.222,-23.572,98.593,1,-1
,SPX 12C1075,Mar 1075 Calls,120112,16:00:00,1075,C,120316,,224.56,218.6,224,-0.015,,1578,96.539,0.025,87.777,-23.484,166.636,0.999,-1
,SPX 12D1075,Apr 1075 Calls,120112,16:00:00,1075,C,120420,,230.14,223.5,228.6,-0.018,,,94.842,0.032,142.514,-24.228,241.488,0.992,-1
