Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,111111,16:00:00,, ,,,,,,,,,1,0,,,,,1263.9
,SPX 11W955D11,NovW2 955 Puts,,,955,P,111111,,0,,,,,,0,0,0,0,0,0,
,SPX 11W955,Nov 955 Puts,111111,16:00:00,955,P,111118,,0.09,,0.1,,,2327,-0.055,0.001,1.246,-4.963,-0.056,0,-1
,SPX 11X955,Dec 955 Puts,111111,16:00:00,955,P,111216,0.492,2.25,1.8,2.65,-0.009,,210,-1.179,0.01,25.728,-17.605,-3.687,0.001,-1
,SPX 12M955,Jan12 955 Puts,111111,16:00:00,955,P,120120,0.436,7.02,5.9,7.9,-0.017,,,-2.831,0.018,67.689,-20.762,-16.338,0.012,-1
,SPX 11W960D11,NovW2 960 Puts,,,960,P,111111,,0,,,,,,0,0,0,0,0,0,
,SPX 11W960,Nov 960 Puts,111111,16:00:00,960,P,111118,,0.09,0.05,0.1,,,9900,-0.059,0.001,1.31,-5.17,-0.06,0,-1
,SPX 11X960,Dec 960 Puts,111111,16:00:00,960,P,111216,0.488,2.34,1.9,2.75,-0.004,,1105,-1.244,0.01,26.666,-18.176,-3.849,0.001,-1
,SPX 12M960,Jan12 960 Puts,111111,16:00:00,960,P,120120,0.433,7.25,6.2,8.1,-0.014,,31,-2.954,0.019,69.495,-21.238,-16.898,0.013,-1
,SPX 12N960,Feb12 960 Puts,111111,16:00:00,960,P,120217,0.419,12.49,10.6,13.7,-0.027,,,-4.191,0.024,105.515,-22.222,-33.509,0.031,-1
,SPX 11W965D11,NovW2 965 Puts,,,965,P,111111,,0,,,,,,0,0,0,0,0,0,
,SPX 11W965,Nov 965 Puts,111111,16:00:00,965,P,111118,,0.1,,0.1,,15,6266,-0.063,0.001,1.378,-5.39,-0.063,0,0.05
,SPX 11X965,Dec 965 Puts,111111,16:00:00,965,P,111216,0.484,2.44,2,2.85,-0.008,2,33,-1.313,0.011,27.64,-18.684,-4.019,0.001,2.25
,SPX 12M965,Jan12 965 Puts,111111,16:00:00,965,P,120120,0.43,7.49,6.4,8.3,-0.019,,350,-3.083,0.02,71.344,-21.57,-17.478,0.015,-1
,SPX 11W970D11,NovW2 970 Puts,,,970,P,111111,,0,,,,,,0,0,0,0,0,0,
,SPX 11W970,Nov 970 Puts,111111,16:00:00,970,P,111118,,0.1,,0.05,,42,10030,-0.068,0.001,1.451,-5.623,-0.067,0,0.05
,SPX 11X970,Dec 970 Puts,111111,16:00:00,970,P,111216,0.478,2.54,2,2.95,-0.024,,262,-1.386,0.011,28.651,-18.956,-4.197,0.001,-1
,SPX 12M970,Jan12 970 Puts,111111,16:00:00,970,P,120120,0.426,7.73,6.6,8.6,-0.017,,21,-3.218,0.021,73.238,-21.983,-18.079,0.016,-1
,SPX 11W975D11,NovW2 975 Puts,111111,16:00:00,975,P,111111,,0,,0.05,,,7154,0,0,0,0,0,0,-1
,SPX 11W975,Nov 975 Puts,111111,16:00:00,975,P,111118,,0.11,0.05,0.1,,5365,41019,-0.073,0.001,1.529,-5.869,-0.071,0,0.05
,SPX 11X975,Dec 975 Puts,111111,16:00:00,975,P,111216,0.474,2.64,2.1,3.1,-0.019,13,41756,-1.463,0.012,29.701,-19.488,-4.384,0.001,2.4
,SPX 12M975,Jan12 975 Puts,111111,16:00:00,975,P,120120,0.424,7.99,6.9,8.9,-0.011,,10475,-3.359,0.022,75.178,-22.556,-18.703,0.018,-1
,SPX 12N975,Feb12 975 Puts,111111,16:00:00,975,P,120217,0.411,13.56,11.8,14.9,-0.014,2,1129,-4.685,0.027,112.483,-23.422,-36.528,0.039,13.7
,SPX 12O975,Mar12 975 Puts,111111,16:00:00,975,P,120316,0.398,18.51,16.8,19.9,-0.008,2,10970,-5.794,0.03,144.216,-22.664,-56.557,0.061,18.7
,SPX 12U975,Sep12 975 Puts,111111,16:00:00,975,P,120921,0.355,48,46.5,49.4,-0.001,,101,-9.719,0.036,305.686,-17.042,-236.594,0.173,-1
,SPX 11W980D11,NovW2 980 Puts,,,980,P,111111,,0,,,,,,0,0,0,0,0,0,
,SPX 11W980,Nov 980 Puts,111111,16:00:00,980,P,111118,,0.11,0.05,0.1,,1,6024,-0.079,0.001,1.612,-6.13,-0.075,0,0.1
