Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,141223,16:00:00,, ,,,,,,,,,1,0,,,,,2082.2
,SPX 14X1705D26,DecW4 1705 Puts,141223,16:00:00,1705,P,141226,,0.17,,0.05,,10,2835,0,0,2.262,-13.188,-0.08,0,-1
,SPX 14X1705D31,DecQ 1705 Puts,141223,16:00:00,1705,P,141231,,0.15,,0.1,,,224,-0.01,0,3.11,-6.723,-0.163,0,-1
,SPX 15M1705D2,Jan15W1 1705 Puts,141223,16:00:00,1705,P,150102,,0.22,0.05,0.15,,,,-0.02,0,4.613,-8.077,-0.277,0,-1
,SPX 15M1705D9,Jan15W2 1705 Puts,141223,16:00:00,1705,P,150109,0.363,0.4,0.25,0.4,-0.175,,,-0.1,0.001,9.013,-7.364,-0.731,0,-1
,SPX 15M1705,Jan15 1705 Puts,141223,16:00:00,1705,P,150116,,0.54,0.05,1.2,0.167,,984,-0.224,0.002,12.945,-8.525,-1.252,0,-1
,SPX 15M1705D23,Jan15W4 1705 Puts,141223,16:00:00,1705,P,150123,0.313,0.97,0.8,1.15,0.01,,11,-0.364,0.003,22.1,-10.501,-2.629,0,-1
,SPX 15N1705,Feb15 1705 Puts,141223,16:00:00,1705,P,150220,0.278,3.09,1.2,5.2,0.036,,,-1.189,0.008,61.617,-14.539,-11.509,0,-1
,SPX 15N1705,Feb15 1705 Puts,141223,16:00:00,1705,P,150226,0.264,3.06,1.2,5.2,0.046,,,-1.198,0.008,64.369,-13.229,-12.598,0,-1
,SPX 14X1710D26,DecW4 1710 Puts,141223,16:00:00,1710,P,141226,,0.17,,0.05,,,2294,0,0,2.282,-13.132,-0.081,0,-1
,SPX 14X1710D31,DecQ 1710 Puts,141223,16:00:00,1710,P,141231,,0.15,,0.1,,,275,-0.011,0,3.162,-6.756,-0.166,0,-1
,SPX 15M1710D2,Jan15W1 1710 Puts,141223,16:00:00,1710,P,150102,,0.22,0.05,0.15,,,65,-0.021,0,4.693,-8.123,-0.282,0,-1
,SPX 15M1710D9,Jan15W2 1710 Puts,141223,16:00:00,1710,P,150109,0.358,0.41,0.25,0.4,-0.195,,27,-0.105,0.001,9.23,-7.309,-0.751,0,-1
,SPX 15M1710,Jan15 1710 Puts,141223,16:00:00,1710,P,150116,,0.56,0.05,1.25,0.161,284,1156,-0.234,0.002,13.34,-8.707,-1.295,0,0.65
,SPX 15M1710D23,Jan15W4 1710 Puts,141223,16:00:00,1710,P,150123,0.31,1,0.85,1.2,0.02,,17,-0.38,0.003,22.711,-10.794,-2.713,0,-1
,SPX 15N1710,Feb15 1710 Puts,141223,16:00:00,1710,P,150220,,3.18,1,5,-0.057,,17,-1.236,0.008,63.154,-14.461,-11.857,0,-1
,SPX 15N1710,Feb15 1710 Puts,141223,16:00:00,1710,P,150226,,3.15,1,5,-0.048,,17,-1.246,0.008,65.991,-13.042,-12.983,0,-1
,SPX 15O1710,Mar15 1710 Puts,141223,16:00:00,1710,P,150320,0.263,7.01,6.1,7.7,-0.016,,5,-2.341,0.013,118.192,-17.601,-30.34,0.002,-1
,SPX 15P1710,Apr15 1710 Puts,,,1710,P,150417,,10.82,,,,,,-3.306,0.017,168.119,-18.485,-53.348,0.006,
,SPX 15P1710,Apr15 1710 Puts,,,1710,P,150429,,10.77,,,,,,-3.357,0.017,176.41,-16.665,-58.768,0.008,
,SPX 14X1715D26,DecW4 1715 Puts,141223,16:00:00,1715,P,141226,,0.17,,0.05,,,585,0,0,2.302,-13.076,-0.082,0,-1
,SPX 14X1715D31,DecQ 1715 Puts,141223,16:00:00,1715,P,141231,,0.15,,0.1,,,76,-0.012,0,3.217,-6.79,-0.169,0,-1
,SPX 15M1715D2,Jan15W1 1715 Puts,141223,16:00:00,1715,P,150102,,0.22,0.05,0.15,,50,208,-0.022,0,4.777,-8.17,-0.288,0,0.1
,SPX 15M1715D9,Jan15W2 1715 Puts,141223,16:00:00,1715,P,150109,0.354,0.41,0.25,0.4,-0.195,,31,-0.11,0.001,9.456,-7.329,-0.772,0,-1
,SPX 15M1715,Jan15 1715 Puts,141223,16:00:00,1715,P,150116,,0.58,0.05,1.25,0.121,451,1804,-0.246,0.002,13.75,-8.895,-1.34,0,0.65
,SPX 15M1715D23,Jan15W4 1715 Puts,141223,16:00:00,1715,P,150123,0.306,1.03,0.85,1.2,-0.01,,1,-0.397,0.003,23.345,-10.7,-2.8,0,-1
,SPX 15N1715,Feb15 1715 Puts,141223,16:00:00,1715,P,150220,0.275,3.26,2.8,4.1,0.058,,,-1.286,0.008,64.735,-15.388,-12.218,0,-1
,SPX 15N1715,Feb15 1715 Puts,141223,16:00:00,1715,P,150226,0.262,3.23,2.8,4.1,0.068,,,-1.296,0.008,67.661,-13.916,-13.383,0,-1
,SPX 14X1720D26,DecW4 1720 Puts,141223,16:00:00,1720,P,141226,,0.17,,0.05,,,613,0,0,2.323,-13.02,-0.082,0,-1
,SPX 14X1720D31,DecQ 1720 Puts,141223,16:00:00,1720,P,141231,,0.15,0.05,0.1,,291,378,-0.013,0,3.273,-6.826,-0.172,0,0.1
,SPX 15M1720D2,Jan15W1 1720 Puts,141223,16:00:00,1720,P,150102,,0.23,0.05,0.15,,,48,-0.024,0,4.864,-8.22,-0.294,0,-1
,SPX 15M1720D9,Jan15W2 1720 Puts,141223,16:00:00,1720,P,150109,0.355,0.42,0.3,0.45,-0.095,,64,-0.115,0.001,9.691,-8.215,-0.794,0,-1
,SPX 15M1720,Jan15 1720 Puts,141223,16:00:00,1720,P,150116,0.344,0.59,0.65,1.2,0.542,522,5117,-0.258,0.002,14.178,-12.939,-1.388,0,0.65
,SPX 15M1720D23,Jan15W4 1720 Puts,141223,16:00:00,1720,P,150123,0.307,1.05,1,1.25,0.076,,862,-0.415,0.003,24.002,-11.616,-2.892,0,-1
,SPX 15N1720,Feb15 1720 Puts,141223,16:00:00,1720,P,150220,0.268,3.35,1.2,5.2,-0.042,80,52,-1.338,0.009,66.363,-14.525,-12.592,0,3.5
,SPX 15N1720,Feb15 1720 Puts,141223,16:00:00,1720,P,150226,0.255,3.32,1.2,5.2,-0.033,80,52,-1.349,0.009,69.381,-13.192,-13.797,0.001,3.5
,SPX 15O1720,Mar15 1720 Puts,141223,16:00:00,1720,P,150320,0.26,7.35,6.4,8.1,-0.014,,35,-2.506,0.014,123.087,-18.091,-31.947,0.002,-1
,SPX 15P1720,Apr15 1720 Puts,,,1720,P,150417,,11.3,,,,,,-3.517,0.018,174.228,-18.924,-55.912,0.007,
,SPX 15P1720,Apr15 1720 Puts,,,1720,P,150429,,11.26,,,,,,-3.572,0.018,182.889,-17.07,-61.624,0.01,
,SPX 14X1725D26,DecW4 1725 Puts,141223,16:00:00,1725,P,141226,,0.16,,0.05,,1,2235,0,0,2.344,-12.966,-0.083,0,-1
,SPX 14X1725D31,DecQ 1725 Puts,141223,16:00:00,1725,P,141231,,0.15,,0.1,,11840,5725,-0.013,0,3.332,-6.864,-0.176,0,0.1
,SPX 15M1725D2,Jan15W1 1725 Puts,141223,16:00:00,1725,P,150102,,0.23,0.05,0.15,,,228,-0.025,0,4.954,-8.271,-0.3,0,-1
,SPX 15M1725D9,Jan15W2 1725 Puts,141223,16:00:00,1725,P,150109,0.352,0.43,0.3,0.5,-0.07,,79,-0.121,0.001,9.935,-8.58,-0.816,0,-1
