Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,180501,16:00:00,, ,,,,,,,,,1,0,,,,,2654.7
,SPX 18Q2175D4,MayW1 2175 Puts,180501,16:00:00,2175,P,180504,,0,,0.05,,300,883,-0.002,0,0.129,-0.385,-0.003,0,0.05
,SPX 18Q2175D11,MayW2 2175 Puts,180501,16:00:00,2175,P,180511,0.433,0.08,0.15,0.3,,,114,-0.037,0,2.196,-8.29,-0.118,0,-1
,SPX 18Q2175,May 2175 Puts,180501,16:00:00,2175,P,180518,0.38,0.28,0.4,0.55,0.714,13,374,-0.113,0.001,7.233,-10.947,-0.538,0,0.6
,SPX 18Q2175D25,MayW4 2175 Puts,180501,16:00:00,2175,P,180525,0.334,0.56,0.75,0.85,0.429,,120,-0.22,0.001,14.573,-11.653,-1.407,0,-1
,SPX 18Q2175D31,MayM 2175 Puts,180501,16:00:00,2175,P,180531,0.31,0.8,0.95,1.1,0.275,,804,-0.303,0.002,20.583,-11.508,-2.292,0,-1
,SPX 18R2175D1,JunW1 2175 Puts,180501,16:00:00,2175,P,180601,0.309,0.91,1.05,1.2,0.242,,49,-0.334,0.002,22.843,-12.115,-2.622,0,-1
,SPX 18R2175,Jun 2175 Puts,180501,16:00:00,2175,P,180615,0.286,1.91,2,2.15,0.089,,718,-0.708,0.004,43.919,-14.146,-6.511,0,-1
,SPX 18R2175D29,JunQ 2175 Puts,180501,16:00:00,2175,P,180629,0.268,3.37,3.2,3.4,-0.021,,3195,-1.162,0.006,71.842,-15.168,-13.23,0.001,-1
,SPX 18S2175,Jul 2175 Puts,180501,16:00:00,2175,P,180720,0.255,5.5,5.3,5.6,-0.009,,3012,-1.832,0.009,109.662,-16.588,-24.965,0.003,-1
,SPX 18S2175D31,JulM 2175 Puts,180501,16:00:00,2175,P,180731,0.25,6.97,6.8,7.1,0.004,13,2055,-2.236,0.01,133.698,-17.301,-33.814,0.005,8.09
,SPX 18T2175,Aug 2175 Puts,180501,16:00:00,2175,P,180817,0.246,9.42,9.1,9.4,-0.018,,1000,-2.826,0.012,169.204,-18.076,-48.6,0.009,-1
,SPX 18U2175,Sep 2175 Puts,180501,16:00:00,2175,P,180921,0.238,14.64,14.3,14.6,-0.013,,162,-3.919,0.015,240.381,-18.588,-85.502,0.019,-1
,SPX 18U2175D28,SepQ 2175 Puts,180501,16:00:00,2175,P,180928,0.239,16.09,15.6,16.2,-0.004,84,327,-4.146,0.016,257.713,-19.004,-95.764,0.022,18.55
,SPX 18X2175,Dec 2175 Puts,180501,16:00:00,2175,P,181221,0.228,28.79,28.2,28.9,-0.008,,190,-6.218,0.019,406.142,-17.77,-209.172,0.05,-1
,SPX 19M2175,Jan19 2175 Puts,180501,16:00:00,2175,P,190118,0.226,33.07,32.2,33,-0.014,,82,-6.337,0.018,451.426,-17.18,-252.763,0.06,-1
,SPX 18Q2180D4,MayW1 2180 Puts,180501,16:00:00,2180,P,180504,,0,,0.05,,,1587,-0.002,0,0.134,-0.398,-0.004,0,-1
,SPX 18Q2180D11,MayW2 2180 Puts,180501,16:00:00,2180,P,180511,0.434,0.08,0.2,0.3,,,1736,-0.038,0,2.272,-9.198,-0.122,0,-1
,SPX 18Q2180,May 2180 Puts,180501,16:00:00,2180,P,180518,0.376,0.28,0.4,0.55,0.714,,559,-0.118,0.001,7.443,-10.98,-0.555,0,-1
,SPX 18Q2180D25,MayW4 2180 Puts,180501,16:00:00,2180,P,180525,0.33,0.58,0.75,0.85,0.379,,16,-0.228,0.001,14.967,-11.551,-1.45,0,-1
,SPX 18Q2180D31,MayM 2180 Puts,180501,16:00:00,2180,P,180531,0.308,0.82,1,1.1,0.28,,41,-0.314,0.002,21.117,-11.726,-2.36,0,-1
,SPX 18R2180D1,JunW1 2180 Puts,180501,16:00:00,2180,P,180601,0.307,0.93,1.05,1.2,0.226,8,24,-0.346,0.002,23.419,-12.22,-2.697,0,1.4
,SPX 18R2180,Jun 2180 Puts,180501,16:00:00,2180,P,180615,0.283,1.96,2,2.2,0.071,,344,-0.733,0.004,44.964,-14.143,-6.693,0,-1
,SPX 18R2180D29,JunQ 2180 Puts,180501,16:00:00,2180,P,180629,0.267,3.45,3.3,3.5,-0.014,,23,-1.2,0.006,73.378,-15.534,-13.57,0.001,-1
,SPX 18S2180,Jul 2180 Puts,180501,16:00:00,2180,P,180720,0.254,5.63,5.4,5.8,-0.005,,150,-1.887,0.009,111.817,-16.955,-25.572,0.003,-1
,SPX 18S2180D31,JulM 2180 Puts,180501,16:00:00,2180,P,180731,0.248,7.13,6.9,7.2,-0.011,,,-2.3,0.011,136.177,-17.409,-34.6,0.006,-1
,SPX 18T2180,Aug 2180 Puts,180501,16:00:00,2180,P,180817,0.245,9.62,9.3,9.6,-0.018,,,-2.901,0.013,172.075,-18.297,-49.654,0.009,-1
,SPX 18U2180,Sep 2180 Puts,,,2180,P,180921,,14.92,,,,,,-4.013,0.016,243.895,-19.001,-87.155,0.02,
,SPX 18U2180D28,SepQ 2180 Puts,180501,16:00:00,2180,P,180928,0.237,16.38,15.9,16.5,-0.011,,85,-4.242,0.016,261.33,-19.075,-97.556,0.023,-1
,SPX 18X2180,Dec 2180 Puts,,,2180,P,181221,,29.24,,,,,,-6.33,0.018,410.639,-17.983,-212.442,0.052,
,SPX 18Q2185D4,MayW1 2185 Puts,,,2185,P,180504,,0,,,,,,-0.002,0,0.14,-0.411,-0.004,0,
,SPX 18Q2185D11,MayW2 2185 Puts,,,2185,P,180511,,0.08,,,,,,-0.04,0,2.352,-3.388,-0.127,0,
,SPX 18Q2185,May 2185 Puts,180501,16:00:00,2185,P,180518,0.374,0.29,0.45,0.55,0.724,,311,-0.123,0.001,7.661,-11.329,-0.573,0,-1
,SPX 18Q2185D25,MayW4 2185 Puts,,,2185,P,180525,,0.59,,,,,,-0.237,0.002,15.373,-9.062,-1.494,0,
,SPX 18R2185D1,JunW1 2185 Puts,,,2185,P,180601,,0.96,,,,,,-0.36,0.002,24.012,-10.532,-2.776,0,
,SPX 18R2185,Jun 2185 Puts,180501,16:00:00,2185,P,180615,0.282,2.01,2.05,2.25,0.07,,225,-0.759,0.004,46.038,-14.393,-6.882,0,-1
,SPX 18S2185,Jul 2185 Puts,180501,16:00:00,2185,P,180720,0.252,5.75,5.5,5.9,-0.009,,72,-1.944,0.01,114.016,-17.071,-26.195,0.004,-1
,SPX 18T2185,Aug 2185 Puts,180501,16:00:00,2185,P,180817,0.244,9.82,9.5,9.9,-0.012,,,-2.979,0.013,174.993,-18.642,-50.734,0.01,-1
,SPX 18U2185,Sep 2185 Puts,,,2185,P,180921,,15.2,,,,,,-4.109,0.016,247.454,-19.191,-88.842,0.021,
,SPX 18Q2190D4,MayW1 2190 Puts,180501,16:00:00,2190,P,180504,,0,,0.05,,,149,-0.002,0,0.145,-0.425,-0.004,0,-1
,SPX 18Q2190D11,MayW2 2190 Puts,180501,16:00:00,2190,P,180511,0.425,0.08,0.2,0.3,,,512,-0.042,0,2.434,-9.187,-0.132,0,-1
,SPX 18Q2190,May 2190 Puts,180501,16:00:00,2190,P,180518,0.37,0.3,0.45,0.55,0.667,,208,-0.128,0.001,7.886,-11.26,-0.592,0,-1
,SPX 18Q2190D25,MayW4 2190 Puts,180501,16:00:00,2190,P,180525,0.325,0.61,0.75,0.9,0.361,,80,-0.247,0.002,15.794,-11.906,-1.541,0,-1
,SPX 18Q2190D31,MayM 2190 Puts,180501,16:00:00,2190,P,180531,0.304,0.86,1.05,1.15,0.279,,24,-0.339,0.002,22.238,-12.179,-2.504,0,-1
,SPX 18R2190D1,JunW1 2190 Puts,180501,16:00:00,2190,P,180601,0.302,0.98,1.1,1.25,0.204,,52,-0.373,0.002,24.625,-12.436,-2.858,0,-1
,SPX 18R2190,Jun 2190 Puts,180501,16:00:00,2190,P,180615,0.28,2.06,2.1,2.3,0.068,,95,-0.787,0.005,47.142,-14.647,-7.077,0,-1
,SPX 18R2190D29,JunQ 2190 Puts,180501,16:00:00,2190,P,180629,0.264,3.62,3.5,3.7,-0.006,,44,-1.28,0.007,76.562,-16.027,-14.283,0.001,-1
