Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,150414,16:00:00,, ,,,,,,,,,1,0,,,,,2095.9
,SPX 15P1735,Apr 1735 Puts,150414,16:00:00,1735,P,150417,,0.01,,,,,2201,-0.003,0,0.268,-1.162,-0.007,0,-1
,SPX 15P1735D24,AprW4 1735 Puts,150414,16:00:00,1735,P,150424,,0.02,,0.1,,,119,-0.014,0,0.837,-1.032,-0.042,0,-1
,SPX 15P1735,Apr 1735 Puts,150414,16:00:00,1735,P,150429,,0.03,,,,,2201,-0.004,0,1.328,-1.134,-0.079,0,-1
,SPX 15Q1735D1,MayW1 1735 Puts,150414,16:00:00,1735,P,150501,,0.05,0.1,0.2,,,61,-0.045,0.001,2.117,-1.484,-0.144,0,-1
,SPX 15Q1735D8,MayW2 1735 Puts,150414,16:00:00,1735,P,150508,0.286,0.16,0.2,0.35,0.75,,13,-0.132,0.001,5.916,-4.65,-0.52,0,-1
,SPX 15Q1735,May 1735 Puts,150414,16:00:00,1735,P,150515,,0.37,0.15,0.75,0.216,,207,-0.282,0.003,11.901,-4.852,-1.26,0,-1
,SPX 15Q1735D22,MayW4 1735 Puts,150414,16:00:00,1735,P,150522,0.258,0.64,0.65,0.85,0.172,,,-0.463,0.004,19.403,-6.845,-2.438,0,-1
,SPX 15Q1735,May 1735 Puts,150414,16:00:00,1735,P,150528,,0.39,0.15,0.75,0.154,,207,-0.291,0.003,14.536,-3.545,-1.835,0,-1
,SPX 15R1735,Jun 1735 Puts,150414,16:00:00,1735,P,150619,0.244,2.91,2.25,3.4,-0.027,,,-1.536,0.011,65.521,-11.769,-12.891,0,-1
,SPX 15R1735D30,JunQ 1735 Puts,150414,16:00:00,1735,P,150630,0.241,4.11,4,4.4,0.022,,,-1.99,0.013,86.854,-13.423,-19.522,0,-1
,SPX 15P1740,Apr 1740 Puts,150414,16:00:00,1740,P,150417,,0.01,,,,,3682,-0.003,0,0.276,-1.185,-0.007,0,-1
,SPX 15P1740D24,AprW4 1740 Puts,150414,16:00:00,1740,P,150424,,0.02,,0.1,,,2,-0.015,0,0.877,-1.071,-0.044,0,-1
,SPX 15P1740,Apr 1740 Puts,150414,16:00:00,1740,P,150429,,0.03,,,,,3682,-0.004,0,1.356,-1.143,-0.081,0,-1
,SPX 15Q1740D1,MayW1 1740 Puts,150414,16:00:00,1740,P,150501,,0.06,0.1,0.2,,,10,-0.048,0.001,2.236,-1.555,-0.152,0,-1
,SPX 15Q1740D8,MayW2 1740 Puts,150414,16:00:00,1740,P,150508,0.283,0.17,0.2,0.35,0.647,,33,-0.141,0.002,6.216,-4.656,-0.55,0,-1
,SPX 15Q1740,May 1740 Puts,150414,16:00:00,1740,P,150515,0.275,0.39,0.35,0.75,0.41,,321,-0.3,0.003,12.452,-6.689,-1.326,0,-1
,SPX 15Q1740D22,MayW4 1740 Puts,150414,16:00:00,1740,P,150522,0.255,0.67,0.65,0.85,0.119,,2011,-0.49,0.005,20.241,-6.844,-2.559,0,-1
,SPX 15Q1740,May 1740 Puts,150414,16:00:00,1740,P,150528,0.23,0.41,0.35,0.75,0.341,,321,-0.309,0.003,15.208,-4.717,-1.931,0,-1
,SPX 15R1740,Jun 1740 Puts,150414,16:00:00,1740,P,150619,0.242,3.01,2.4,3.5,-0.02,,5,-1.604,0.012,67.508,-12.052,-13.367,0,-1
,SPX 15R1740D30,JunQ 1740 Puts,150414,16:00:00,1740,P,150630,0.238,4.25,4,4.3,-0.024,,,-2.073,0.014,89.234,-13.279,-20.186,0,-1
,SPX 15S1740,Jul 1740 Puts,150414,16:00:00,1740,P,150717,0.239,6.63,6.1,7.4,0.018,,,-2.896,0.018,124.155,-15.813,-33.028,0.001,-1
,SPX 15S1740,Jul 1740 Puts,150414,16:00:00,1740,P,150730,0.224,6.6,6.1,7.4,0.023,,,-2.948,0.018,132.421,-13.854,-37.554,0.002,-1
,SPX 15P1745,Apr 1745 Puts,150414,16:00:00,1745,P,150417,,0.01,,,,,1186,-0.004,0,0.284,-1.208,-0.007,0,-1
,SPX 15P1745D24,AprW4 1745 Puts,150414,16:00:00,1745,P,150424,,0.02,,0.1,,,4,-0.016,0,0.919,-1.113,-0.046,0,-1
,SPX 15P1745,Apr 1745 Puts,150414,16:00:00,1745,P,150429,,0.03,,,,,1186,-0.005,0,1.385,-1.153,-0.083,0,-1
,SPX 15Q1745D1,MayW1 1745 Puts,150414,16:00:00,1745,P,150501,,0.06,0.1,0.2,,,10,-0.052,0.001,2.363,-1.63,-0.162,0,-1
,SPX 15Q1745D8,MayW2 1745 Puts,150414,16:00:00,1745,P,150508,0.279,0.18,0.2,0.35,0.556,,30,-0.15,0.002,6.534,-4.662,-0.581,0,-1
,SPX 15Q1745,May 1745 Puts,150414,16:00:00,1745,P,150515,0.257,0.41,0.2,0.5,-0.122,208,332,-0.318,0.003,13.031,-4.648,-1.397,0,0.5
,SPX 15Q1745D22,MayW4 1745 Puts,150414,16:00:00,1745,P,150522,0.255,0.71,0.7,0.95,0.169,,3,-0.519,0.005,21.118,-7.422,-2.688,0,-1
,SPX 15Q1745,May 1745 Puts,150414,16:00:00,1745,P,150528,0.215,0.43,0.2,0.5,-0.163,208,332,-0.329,0.003,15.915,-3.321,-2.034,0,0.5
,SPX 15R1745,Jun 1745 Puts,150414,16:00:00,1745,P,150619,0.241,3.12,2.5,3.6,-0.022,,,-1.676,0.012,69.558,-12.341,-13.864,0,-1
,SPX 15R1745D30,JunQ 1745 Puts,150414,16:00:00,1745,P,150630,0.236,4.39,4.1,4.5,-0.021,,,-2.159,0.015,91.681,-13.561,-20.875,0,-1
,SPX 15P1750,Apr 1750 Puts,150414,16:00:00,1750,P,150417,,0.01,,0.05,,,58968,-0.004,0,0.293,-1.233,-0.007,0,-1
,SPX 15P1750D24,AprW4 1750 Puts,150414,16:00:00,1750,P,150424,,0.03,0.05,0.1,,,504,-0.017,0,0.963,-1.156,-0.049,0,-1
,SPX 15P1750,Apr 1750 Puts,150414,16:00:00,1750,P,150429,,0.03,,0.05,,,58968,-0.005,0,1.416,-1.163,-0.085,0,-1
,SPX 15Q1750D1,MayW1 1750 Puts,150414,16:00:00,1750,P,150501,,0.06,0.1,0.2,,,1597,-0.056,0.001,2.498,-1.71,-0.172,0,-1
,SPX 15Q1750D8,MayW2 1750 Puts,150414,16:00:00,1750,P,150508,0.274,0.19,0.2,0.35,0.474,,2617,-0.161,0.002,6.871,-4.606,-0.615,0,-1
,SPX 15Q1750,May 1750 Puts,150414,16:00:00,1750,P,150515,0.263,0.43,0.4,0.55,0.116,794,30109,-0.338,0.003,13.64,-5.948,-1.471,0,0.5
,SPX 15Q1750D22,MayW4 1750 Puts,150414,16:00:00,1750,P,150522,0.255,0.74,0.65,1.15,0.216,,78,-0.55,0.005,22.036,-7.948,-2.823,0,-1
,SPX 15Q1750,May 1750 Puts,150414,16:00:00,1750,P,150528,0.22,0.45,0.4,0.55,0.067,794,30109,-0.349,0.004,16.659,-4.219,-2.142,0,0.5
,SPX 15R1750,Jun 1750 Puts,150414,16:00:00,1750,P,150619,0.241,3.23,2.9,3.7,0.022,,33739,-1.751,0.013,71.672,-13.071,-14.38,0,-1
,SPX 15R1750D30,JunQ 1750 Puts,150414,16:00:00,1750,P,150630,0.235,4.53,4.3,4.6,-0.018,,8608,-2.248,0.015,94.195,-13.849,-21.59,0.001,-1
,SPX 15S1750,Jul 1750 Puts,150414,16:00:00,1750,P,150717,0.235,7.03,6.3,7.7,-0.004,1118,2774,-3.117,0.019,130.16,-16.162,-35.085,0.001,7
,SPX 15S1750,Jul 1750 Puts,150414,16:00:00,1750,P,150730,0.22,7.01,6.3,7.7,-0.001,1118,2774,-3.175,0.02,138.909,-14.158,-39.924,0.003,7
,SPX 15U1750,Sep 1750 Puts,150414,16:00:00,1750,P,150918,0.228,17.07,16.2,18,0.001,700,19487,-5.689,0.027,252.62,-18.178,-102.967,0.011,16.8
,SPX 15U1750D30,SepQ 1750 Puts,150414,16:00:00,1750,P,150930,0.225,18.93,18.2,19.4,-0.007,,2500,-5.981,0.028,274.048,-17.925,-118.588,0.015,-1
,SPX 15X1750,Dec 1750 Puts,150414,16:00:00,1750,P,151218,0.222,32.26,30.5,33.8,-0.002,1000,35587,-8.38,0.031,400.883,-17.608,-233.731,0.037,33.1
,SPX 16R1750,Jun16 1750 Puts,150414,16:00:00,1750,P,160617,0.222,65.55,61.5,67.6,-0.015,,2574,-10.694,0.033,638.956,-15.605,-577.228,0.092,-1
,SPX 15P1755,Apr 1755 Puts,150414,16:00:00,1755,P,150417,,0.01,,,,,1035,-0.004,0,0.302,-1.259,-0.008,0,-1
,SPX 15P1755D24,AprW4 1755 Puts,150414,16:00:00,1755,P,150424,,0.03,0.05,0.1,,,7,-0.019,0,1.011,-1.203,-0.051,0,-1
,SPX 15P1755,Apr 1755 Puts,150414,16:00:00,1755,P,150429,,0.03,,,,,1035,-0.005,0,1.448,-1.173,-0.087,0,-1
,SPX 15Q1755D1,MayW1 1755 Puts,150414,16:00:00,1755,P,150501,,0.07,0.1,0.2,,,14,-0.06,0.001,2.643,-1.795,-0.183,0,-1
,SPX 15Q1755D8,MayW2 1755 Puts,150414,16:00:00,1755,P,150508,0.276,0.2,0.25,0.4,0.65,,16,-0.172,0.002,7.227,-5.331,-0.65,0,-1
,SPX 15Q1755,May 1755 Puts,150414,16:00:00,1755,P,150515,0.255,0.46,0.3,0.55,-0.065,38,223,-0.36,0.004,14.281,-5.372,-1.55,0,0.55
,SPX 15Q1755D22,MayW4 1755 Puts,150414,16:00:00,1755,P,150522,0.251,0.78,0.8,1,0.154,,755,-0.582,0.006,22.997,-7.869,-2.966,0,-1
,SPX 15Q1755,May 1755 Puts,150414,16:00:00,1755,P,150528,0.214,0.47,0.3,0.55,-0.085,38,223,-0.371,0.004,17.441,-3.825,-2.258,0,0.55
,SPX 15R1755,Jun 1755 Puts,150414,16:00:00,1755,P,150619,0.238,3.34,2.7,3.9,-0.012,,,-1.83,0.014,73.853,-13.05,-14.918,0,-1
,SPX 15R1755D30,JunQ 1755 Puts,150414,16:00:00,1755,P,150630,0.233,4.68,4.4,4.8,-0.017,,1,-2.342,0.016,96.779,-14.142,-22.332,0.001,-1
,SPX 15P1760,Apr 1760 Puts,150414,16:00:00,1760,P,150417,,0.01,,0.05,,,4420,-0.004,0,0.311,-1.286,-0.008,0,-1
,SPX 15P1760D24,AprW4 1760 Puts,150414,16:00:00,1760,P,150424,,0.03,0.05,0.1,,,188,-0.02,0,1.062,-1.251,-0.054,0,-1
,SPX 15P1760,Apr 1760 Puts,150414,16:00:00,1760,P,150429,,0.03,,0.05,,,4420,-0.006,0,1.481,-1.184,-0.089,0,-1
,SPX 15Q1760D1,MayW1 1760 Puts,150414,16:00:00,1760,P,150501,0.3,0.07,0.1,0.25,,30,11,-0.064,0.001,2.797,-4.292,-0.195,0,0.2
,SPX 15Q1760D8,MayW2 1760 Puts,150414,16:00:00,1760,P,150508,0.272,0.21,0.25,0.4,0.571,,37,-0.184,0.002,7.605,-5.277,-0.689,0,-1
,SPX 15Q1760,May 1760 Puts,150414,16:00:00,1760,P,150515,0.261,0.48,0.55,0.6,0.187,576,1361,-0.382,0.004,14.955,-6.741,-1.634,0,0.55
,SPX 15Q1760D22,MayW4 1760 Puts,150414,16:00:00,1760,P,150522,0.247,0.82,0.75,1,0.073,,13,-0.617,0.006,24.004,-7.701,-3.117,0,-1
,SPX 15Q1760,May 1760 Puts,150414,16:00:00,1760,P,150528,0.219,0.49,0.55,0.6,0.163,576,1361,-0.395,0.004,18.265,-4.826,-2.38,0,0.55
,SPX 15R1760,Jun 1760 Puts,150414,16:00:00,1760,P,150619,0.236,3.47,2.85,4,-0.012,,20,-1.913,0.014,76.101,-13.363,-15.478,0,-1
,SPX 15R1760D30,JunQ 1760 Puts,150414,16:00:00,1760,P,150630,0.231,4.84,4.6,4.9,-0.019,,65,-2.44,0.017,99.433,-14.442,-23.102,0.001,-1
,SPX 15S1760,Jul 1760 Puts,150414,16:00:00,1760,P,150717,0.232,7.45,6.6,8.2,-0.007,,,-3.356,0.021,136.44,-16.633,-37.28,0.002,-1
,SPX 15S1760,Jul 1760 Puts,150414,16:00:00,1760,P,150730,0.217,7.44,6.6,8.2,-0.005,,,-3.42,0.021,145.694,-14.574,-42.455,0.004,-1
,SPX 15P1765,Apr 1765 Puts,150414,16:00:00,1765,P,150417,,0.01,,,,,1141,-0.005,0,0.321,-1.314,-0.008,0,-1
,SPX 15P1765D24,AprW4 1765 Puts,150414,16:00:00,1765,P,150424,,0.03,,0.1,,,183,-0.021,0,1.116,-1.303,-0.057,0,-1
,SPX 15P1765,Apr 1765 Puts,150414,16:00:00,1765,P,150429,,0.03,,,,,1141,-0.006,0,1.516,-1.196,-0.091,0,-1
,SPX 15Q1765D1,MayW1 1765 Puts,150414,16:00:00,1765,P,150501,,0.07,0.1,0.2,,,5,-0.069,0.001,2.962,-1.979,-0.207,0,-1
,SPX 15Q1765D8,MayW2 1765 Puts,150414,16:00:00,1765,P,150508,0.268,0.23,0.25,0.4,0.435,,4,-0.196,0.002,8.005,-5.291,-0.729,0,-1
,SPX 15Q1765,May 1765 Puts,150414,16:00:00,1765,P,150515,0.266,0.5,0.55,0.9,0.46,,2575,-0.407,0.004,15.665,-8.324,-1.723,0,-1
,SPX 15Q1765D22,MayW4 1765 Puts,150414,16:00:00,1765,P,150522,0.245,0.86,0.8,1.05,0.081,,6,-0.654,0.006,25.058,-8.071,-3.276,0,-1
,SPX 15Q1765,May 1765 Puts,150414,16:00:00,1765,P,150528,0.223,0.52,0.55,0.9,0.404,,2575,-0.42,0.004,19.131,-5.907,-2.509,0,-1
,SPX 15R1765,Jun 1765 Puts,150414,16:00:00,1765,P,150619,0.235,3.59,3.1,4.1,0.003,,7,-2,0.015,78.418,-13.796,-16.061,0,-1
,SPX 15R1765D30,JunQ 1765 Puts,150414,16:00:00,1765,P,150630,0.23,5,4.8,5.1,-0.01,,,-2.543,0.018,102.16,-14.86,-23.901,0.001,-1
,SPX 15P1770,Apr 1770 Puts,150414,16:00:00,1770,P,150417,,0.01,,0.05,,,18328,-0.005,0,0.332,-1.344,-0.008,0,-1
,SPX 15P1770D24,AprW4 1770 Puts,150414,16:00:00,1770,P,150424,,0.03,,0.1,,,363,-0.023,0,1.174,-1.358,-0.06,0,-1
,SPX 15P1770,Apr 1770 Puts,150414,16:00:00,1770,P,150429,,0.04,,0.05,,,18328,-0.006,0,1.553,-1.208,-0.094,0,-1
,SPX 15Q1770D1,MayW1 1770 Puts,150414,16:00:00,1770,P,150501,0.291,0.08,0.1,0.25,,,26,-0.075,0.001,3.138,-4.287,-0.221,0,-1
,SPX 15Q1770D8,MayW2 1770 Puts,150414,16:00:00,1770,P,150508,0.264,0.24,0.25,0.4,0.375,,3,-0.21,0.002,8.429,-5.235,-0.773,0,-1
,SPX 15Q1770,May 1770 Puts,150414,16:00:00,1770,P,150515,0.262,0.53,0.55,0.9,0.358,104,495,-0.433,0.005,16.412,-8.171,-1.818,0,0.7
,SPX 15Q1770D22,MayW4 1770 Puts,150414,16:00:00,1770,P,150522,0.242,0.9,0.85,1.05,0.056,,17,-0.693,0.007,26.162,-8.177,-3.445,0,-1
,SPX 15Q1770,May 1770 Puts,150414,16:00:00,1770,P,150528,0.219,0.55,0.55,0.9,0.309,104,495,-0.447,0.005,20.042,-5.814,-2.647,0,0.7
,SPX 15R1770,Jun 1770 Puts,150414,16:00:00,1770,P,150619,0.233,3.72,3.1,4.2,-0.019,80,8068,-2.09,0.016,80.807,-13.895,-16.668,0,3.7
,SPX 15R1770D30,JunQ 1770 Puts,150414,16:00:00,1770,P,150630,0.231,5.17,5.1,5.5,0.025,,1,-2.65,0.018,104.961,-15.635,-24.73,0.001,-1
,SPX 15S1770,Jul 1770 Puts,150414,16:00:00,1770,P,150717,0.229,7.91,7,8.7,-0.006,200,,-3.615,0.023,143.004,-17.231,-39.623,0.003,8.1
,SPX 15S1770,Jul 1770 Puts,150414,16:00:00,1770,P,150730,0.214,7.91,7,8.7,-0.006,200,,-3.685,0.023,152.785,-15.109,-45.157,0.005,8.1
,SPX 15P1775,Apr 1775 Puts,150414,16:00:00,1775,P,150417,,0.01,,0.05,,,25885,-0.005,0,0.343,-1.376,-0.009,0,-1
,SPX 15P1775D24,AprW4 1775 Puts,150414,16:00:00,1775,P,150424,,0.03,0.05,0.1,,3,1139,-0.024,0,1.235,-1.415,-0.064,0,0.1
,SPX 15P1775,Apr 1775 Puts,150414,16:00:00,1775,P,150429,,0.04,,0.05,,,25885,-0.007,0,1.591,-1.221,-0.096,0,-1
,SPX 15Q1775D1,MayW1 1775 Puts,150414,16:00:00,1775,P,150501,0.286,0.08,0.1,0.25,,,701,-0.081,0.001,3.326,-4.254,-0.236,0,-1
,SPX 15Q1775D8,MayW2 1775 Puts,150414,16:00:00,1775,P,150508,0.265,0.25,0.3,0.45,0.52,,120,-0.225,0.003,8.879,-5.909,-0.82,0,-1
,SPX 15Q1775,May 1775 Puts,150414,16:00:00,1775,P,150515,0.258,0.56,0.55,0.9,0.304,,3859,-0.461,0.005,17.199,-8.203,-1.918,0,-1
,SPX 15Q1775D22,MayW4 1775 Puts,150414,16:00:00,1775,P,150522,0.241,0.94,0.9,1.1,0.085,35,27,-0.735,0.007,27.318,-8.668,-3.623,0,1.45
,SPX 15Q1775,May 1775 Puts,150414,16:00:00,1775,P,150528,0.216,0.58,0.55,0.9,0.259,,3859,-0.476,0.005,21.002,-5.878,-2.793,0,-1
,SPX 15R1775,Jun 1775 Puts,150414,16:00:00,1775,P,150619,0.232,3.86,3.2,4.4,-0.013,1086,15334,-2.186,0.017,83.27,-14.345,-17.301,0.001,4
,SPX 15R1775D30,JunQ 1775 Puts,150414,16:00:00,1775,P,150630,0.229,5.34,5.3,5.6,0.021,,99,-2.761,0.019,107.837,-15.842,-25.591,0.001,-1
,SPX 15S1775,Jul 1775 Puts,150414,16:00:00,1775,P,150717,0.228,8.15,7.2,8.9,-0.012,,2468,-3.752,0.024,146.394,-17.536,-40.854,0.003,-1
,SPX 15S1775,Jul 1775 Puts,150414,16:00:00,1775,P,150730,0.213,8.15,7.2,8.9,-0.012,,2468,-3.825,0.024,156.448,-15.382,-46.576,0.005,-1
,SPX 15U1775,Sep 1775 Puts,150414,16:00:00,1775,P,150918,0.221,19.14,18,20.1,-0.005,,8244,-6.573,0.032,274.376,-19.145,-115.65,0.018,-1
,SPX 15U1775D30,SepQ 1775 Puts,150414,16:00:00,1775,P,150930,0.22,21.12,20.4,21.7,-0.003,,,-6.846,0.029,296.352,-18.985,-132.547,0.022,-1
,SPX 15X1775,Dec 1775 Puts,150414,16:00:00,1775,P,151218,0.217,35.36,33.6,37,-0.002,,12703,-9.299,0.033,425.717,-18.275,-256.227,0.051,-1
,SPX 16R1775,Jun16 1775 Puts,150414,16:00:00,1775,P,160617,0.218,69.84,66.1,72.3,-0.009,,269,-11.748,0.037,663.673,-15.906,-616.059,0.111,-1
,SPX 15D1780,Apr 1780 Calls,150414,16:00:00,1780,C,150417,,317.22,314.9,318.4,-0.002,,,100,0,10.606,-121.598,14.2,1,-1
,SPX 15D1780D24,AprW4 1780 Calls,150414,16:00:00,1780,C,150424,,314.87,315.2,318.2,0.006,,,99.952,0,0.078,0.497,53.605,1,-1
,SPX 15D1780,Apr 1780 Calls,150414,16:00:00,1780,C,150429,,315.42,314.9,318.4,0.004,,,100,0,16.698,-19.239,71.726,1,-1
,SPX 15E1780D1,MayW1 1780 Calls,150414,16:00:00,1780,C,150501,,314.24,314.9,317.6,0.006,,,99.908,0,0.587,0.202,87.688,1,-1
,SPX 15E1780D8,MayW2 1780 Calls,150414,16:00:00,1780,C,150508,,313.61,313.5,316.5,0.004,,,99.858,0.001,1.278,0.001,121.743,1,-1
,SPX 15E1780,May 1780 Calls,150414,16:00:00,1780,C,150515,,313.14,312.3,315.4,0.002,,,99.749,0.002,4.29,-0.871,150.683,1,-1
,SPX 15E1780D22,MayW4 1780 Calls,150414,16:00:00,1780,C,150522,,312.44,312.4,315.1,0.004,,,99.687,0.003,5.224,-0.784,189.521,1,-1
,SPX 15E1780,May 1780 Calls,150414,16:00:00,1780,C,150528,,320.66,312.3,315.4,-0.021,,,100,0.003,103.812,-39.308,194.317,1,-1
,SPX 15F1780,Jun 1780 Calls,150414,16:00:00,1780,C,150619,,329.36,311.8,315.4,-0.048,,,100,0.006,178.609,-46.286,272.658,0.999,-1
,SPX 15F1780D30,JunQ 1780 Calls,150414,16:00:00,1780,C,150630,,328.73,304,324.5,-0.044,,,99.644,0.008,195.73,-39.706,321.529,0.998,-1
,SPX 15G1780,Jul 1780 Calls,150414,16:00:00,1780,C,150717,,317.52,314.2,318.1,-0.004,,,96.089,0.021,160.672,-20.142,411.658,0.996,-1
,SPX 15G1780,Jul 1780 Calls,150414,16:00:00,1780,C,150730,,323.37,314.2,318.1,-0.022,,,97.27,0.014,215.31,-25.859,448.266,0.994,-1
,SPX 15P1780,Apr 1780 Puts,150414,16:00:00,1780,P,150417,,0.01,,0.05,,1000,3076,-0.006,0,0.354,-1.409,-0.009,0,0.05
,SPX 15P1780D24,AprW4 1780 Puts,150414,16:00:00,1780,P,150424,,0.03,0.05,0.15,,,1310,-0.026,0,1.301,-1.477,-0.067,0,-1
,SPX 15P1780,Apr 1780 Puts,150414,16:00:00,1780,P,150429,,0.04,,0.05,,1000,3076,-0.007,0,1.631,-1.234,-0.099,0,0.05
,SPX 15Q1780D1,MayW1 1780 Puts,150414,16:00:00,1780,P,150501,0.285,0.09,0.15,0.25,,,16,-0.087,0.001,3.528,-4.651,-0.252,0,-1
,SPX 15Q1780D8,MayW2 1780 Puts,150414,16:00:00,1780,P,150508,0.261,0.27,0.3,0.45,0.407,,3,-0.241,0.003,9.356,-5.932,-0.869,0,-1
,SPX 15Q1780,May 1780 Puts,150414,16:00:00,1780,P,150515,0.254,0.59,0.5,0.95,0.22,5,4092,-0.491,0.005,18.027,-8.141,-2.024,0,0.7
,SPX 15Q1780D22,MayW4 1780 Puts,150414,16:00:00,1780,P,150522,0.238,0.99,0.9,1.15,0.03,,5127,-0.78,0.008,28.529,-8.59,-3.811,0,-1
,SPX 15Q1780,May 1780 Puts,150414,16:00:00,1780,P,150528,0.213,0.61,0.5,0.95,0.18,5,4092,-0.507,0.005,22.011,-5.783,-2.948,0,0.7
,SPX 15R1780,Jun 1780 Puts,150414,16:00:00,1780,P,150619,0.23,4,3.3,4.6,-0.013,,25,-2.286,0.017,85.808,-14.688,-17.959,0.001,-1
,SPX 15R1780D30,JunQ 1780 Puts,150414,16:00:00,1780,P,150630,0.227,5.52,5.4,5.8,0.014,25,7456,-2.878,0.02,110.79,-16.053,-26.484,0.002,5.6
