Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,180410,16:00:00,, ,,,,,,,,,1,0,,,,,2656.9
,SPX 18P2070D13,AprW2 2070 Puts,180410,16:00:00,2070,P,180413,,0,,0.1,,,100,-0.001,0,0.028,-0.08,-0.001,0,-1
,SPX 18P2070,Apr 2070 Puts,180410,16:00:00,2070,P,180420,0.546,0.04,0.1,0.25,,,52,-0.025,0,1.126,-7.702,-0.055,0,-1
,SPX 18P2070D27,AprW4 2070 Puts,180410,16:00:00,2070,P,180427,0.451,0.25,0.4,0.55,0.92,,,-0.109,0.001,5.893,-10.697,-0.441,0,-1
,SPX 18Q2070D4,MayW1 2070 Puts,180410,16:00:00,2070,P,180504,0.414,0.61,0.8,1,0.475,,31,-0.226,0.001,13.052,-13.335,-1.251,0,-1
,SPX 18Q2070D11,MayW2 2070 Puts,,,2070,P,180511,,1.12,,,,,,-0.372,0.002,22.377,-12.532,-2.586,0,
,SPX 18Q2070,May 2070 Puts,180410,16:00:00,2070,P,180518,0.375,1.73,1.9,2.1,0.156,,102,-0.54,0.003,32.503,-16.937,-4.3,0.001,-1
,SPX 18R2070,Jun 2070 Puts,180410,16:00:00,2070,P,180615,0.325,4.53,4.1,4.7,-0.029,,,-1.279,0.005,77.605,-18.155,-15.289,0.007,-1
,SPX 18R2070D29,JunQ 2070 Puts,180410,16:00:00,2070,P,180629,0.315,6.42,6.1,6.7,-0.003,,65,-1.737,0.007,104.879,-19.642,-24.053,0.013,-1
,SPX 18S2070,Jul 2070 Puts,180410,16:00:00,2070,P,180720,0.302,9.1,8.6,9.3,-0.016,,,-2.29,0.008,141.361,-20.13,-38.158,0.023,-1
,SPX 18U2070,Sep 2070 Puts,,,2070,P,180921,,17.96,,,,,,-3.827,0.012,251.072,-20.23,-96.647,0.057,
,SPX 18U2070D28,SepQ 2070 Puts,180410,16:00:00,2070,P,180928,0.277,18.83,18.1,19.3,-0.007,,34,-4.022,0.012,262.656,-19.81,-104.415,0.061,-1
,SPX 18X2070,Dec 2070 Puts,,,2070,P,181221,,30.82,,,,,,-5.661,0.015,392.201,-18.521,-208.043,0.1,
,SPX 18P2075D13,AprW2 2075 Puts,180410,16:00:00,2075,P,180413,,0,,0.1,,540,12250,-0.001,0,0.029,-0.085,-0.001,0,0.05
,SPX 18P2075,Apr 2075 Puts,180410,16:00:00,2075,P,180420,0.541,0.04,0.1,0.25,,,229,-0.026,0,1.172,-7.698,-0.057,0,-1
,SPX 18P2075D27,AprW4 2075 Puts,180410,16:00:00,2075,P,180427,0.447,0.26,0.4,0.55,0.846,,1075,-0.113,0.001,6.069,-10.687,-0.456,0,-1
,SPX 18P2075D30,AprM 2075 Puts,180410,16:00:00,2075,P,180430,0.423,0.36,0.5,0.65,0.583,,420,-0.144,0.001,8.195,-10.708,-0.684,0,-1
,SPX 18Q2075D4,MayW1 2075 Puts,180410,16:00:00,2075,P,180504,0.412,0.63,0.85,1,0.476,,158,-0.234,0.001,13.39,-13.602,-1.288,0,-1
,SPX 18Q2075D11,MayW2 2075 Puts,180410,16:00:00,2075,P,180511,0.387,1.15,1.35,1.55,0.261,,73,-0.384,0.002,22.896,-15.49,-2.655,0,-1
,SPX 18Q2075,May 2075 Puts,180410,16:00:00,2075,P,180518,0.371,1.77,1.75,2.15,0.102,90,396,-0.557,0.003,33.203,-16.607,-4.408,0.001,2
,SPX 18Q2075D31,MayM 2075 Puts,180410,16:00:00,2075,P,180531,0.339,2.92,2.85,3.1,0.021,,,-0.859,0.004,53.295,-16.936,-8.8,0.003,-1
