Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160317,16:00:00,, ,,,,,,,,,1,0,,,,,2040.6
,SPX 16O1655,Mar 1655 Puts,160317,16:00:00,1655,P,160318,,0,,0.05,,,14762,0,0,0,0,0,0,-1
,SPX 16O1655D24,MarW4 1655 Puts,160317,16:00:00,1655,P,160324,,0.03,,0.05,,200,1543,-0.009,0,0.899,-1.916,-0.039,0,0.05
,SPX 16O1655D31,MarQ 1655 Puts,160317,16:00:00,1655,P,160331,,0.06,0.05,0.15,,,488,-0.033,0,2.05,-2.082,-0.129,0,-1
,SPX 16P1655D1,AprW1 1655 Puts,160317,16:00:00,1655,P,160401,,0.08,0.1,0.2,,,159,-0.043,0,2.542,-2.429,-0.168,0,-1
,SPX 16P1655D8,AprW2 1655 Puts,160317,16:00:00,1655,P,160408,0.32,0.18,0.15,0.3,0.222,,351,-0.105,0.001,5.503,-4.13,-0.466,0,-1
,SPX 16P1655,Apr 1655 Puts,160317,16:00:00,1655,P,160415,0.298,0.31,0.2,0.45,0.065,,1449,-0.189,0.002,9.173,-4.686,-0.917,0,-1
,SPX 16P1655D22,AprW4 1655 Puts,160317,16:00:00,1655,P,160422,0.285,0.58,0.55,0.7,0.086,,25,-0.346,0.003,16.181,-6.327,-1.949,0,-1
,SPX 16P1655D29,AprM 1655 Puts,160317,16:00:00,1655,P,160429,0.278,0.95,0.95,1.1,0.074,,12,-0.558,0.005,24.68,-7.891,-3.426,0,-1
,SPX 16Q1655,May 1655 Puts,160317,16:00:00,1655,P,160520,0.264,2.5,2.15,2.75,-0.02,,8,-1.3,0.009,54.767,-10.932,-10.336,0,-1
,SPX 16Q1655D31,MayM 1655 Puts,160317,16:00:00,1655,P,160531,0.259,3.58,3.3,3.8,-0.008,,,-1.732,0.011,73.687,-12.246,-15.927,0.001,-1
,SPX 16O1660,Mar 1660 Puts,160317,16:00:00,1660,P,160318,,0,,0.05,,,7456,0,0,0,0,0,0,-1
,SPX 16O1660D24,MarW4 1660 Puts,160317,16:00:00,1660,P,160324,,0.03,,0.05,,15718,506,-0.01,0,0.924,-1.95,-0.041,0,0.05
,SPX 16O1660D31,MarQ 1660 Puts,160317,16:00:00,1660,P,160331,,0.07,0.1,0.15,,,278,-0.035,0,2.131,-2.145,-0.134,0,-1
,SPX 16P1660D1,AprW1 1660 Puts,160317,16:00:00,1660,P,160401,,0.08,0.1,0.2,,,129,-0.046,0,2.643,-2.503,-0.175,0,-1
,SPX 16P1660D8,AprW2 1660 Puts,160317,16:00:00,1660,P,160408,0.32,0.19,0.2,0.3,0.316,1,63,-0.111,0.001,5.728,-4.585,-0.487,0,0.25
,SPX 16P1660,Apr 1660 Puts,160317,16:00:00,1660,P,160415,0.296,0.32,0.25,0.45,0.094,,3262,-0.2,0.002,9.549,-4.9,-0.96,0,-1
,SPX 16P1660D22,AprW4 1660 Puts,160317,16:00:00,1660,P,160422,0.283,0.6,0.55,0.75,0.083,2,52,-0.365,0.003,16.806,-6.522,-2.036,0,0.71
