Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,150116,16:00:00,, ,,,,,,,,,1,0,,,,,2019.4
,SPX 15M1600,Jan 1600 Puts,150116,16:00:00,1600,P,150116,,0,,,,,55240,0,0,0,0,0,,-1
,SPX 15M1600D23,JanW4 1600 Puts,150116,16:00:00,1600,P,150123,,0.02,0.05,0.1,,122,5817,-0.014,0,0.449,-0.956,-0.019,0,0.1
,SPX 15M1600D30,JanW5 1600 Puts,150116,16:00:00,1600,P,150130,0.475,0.29,0.4,0.5,0.552,9115,30704,-0.165,0.001,5.744,-11.503,-0.409,0,0.5
,SPX 15N1600D6,FebW1 1600 Puts,150116,16:00:00,1600,P,150206,0.441,0.96,1.05,1.15,0.156,12,715,-0.433,0.003,16.16,-16.914,-1.581,0,1.3
,SPX 15N1600D13,FebW2 1600 Puts,150116,16:00:00,1600,P,150213,0.405,1.5,1.5,1.7,0.067,,1182,-0.614,0.004,24.714,-17.406,-2.922,0,-1
,SPX 15N1600,Feb 1600 Puts,150116,16:00:00,1600,P,150220,0.376,1.82,1.75,1.9,0,1381,39229,-0.722,0.005,30.724,-16.062,-4.086,0,1.8
,SPX 15N1600,Feb 1600 Puts,150116,16:00:00,1600,P,150226,0.347,1.86,1.75,1.9,-0.022,1381,39229,-0.723,0.005,33.798,-13.724,-4.877,0,1.8
,SPX 15O1600,Mar 1600 Puts,150116,16:00:00,1600,P,150320,0.332,4.95,4.5,5.3,-0.012,1240,52085,-1.69,0.009,74.629,-19.318,-15.262,0.001,4.7
,SPX 15O1600D31,MarQ 1600 Puts,150116,16:00:00,1600,P,150331,0.319,6.18,5.7,6.5,-0.006,1,553,-2.029,0.011,91.85,-19.277,-21.192,0.001,7
,SPX 15P1600,Apr 1600 Puts,150116,16:00:00,1600,P,150417,0.308,8.27,7.7,8.7,-0.004,10,278,-2.615,0.013,117.814,-19.732,-31.366,0.003,9
,SPX 15P1600,Apr 1600 Puts,150116,16:00:00,1600,P,150429,0.289,8.34,7.7,8.7,-0.012,10,278,-2.62,0.013,125.987,-17.429,-35.728,0.005,9
,SPX 15R1600,Jun 1600 Puts,150116,16:00:00,1600,P,150619,0.29,18.45,16.7,20.4,0.005,328,31295,-4.297,0.017,222.656,-20.896,-88.883,0.019,18.25
,SPX 15R1600D30,JunQ 1600 Puts,150116,16:00:00,1600,P,150630,0.282,19.35,18.4,19.8,-0.008,5,1447,-4.704,0.019,235.86,-19.85,-98.648,0.023,20.9
,SPX 15U1600,Sep 1600 Puts,150116,16:00:00,1600,P,150918,0.272,32.22,29.9,34.7,0.001,435,7411,-6.201,0.021,347.987,-19.061,-196.056,0.052,31
