Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,100701,16:00:00,, ,,,,,,,,,1,0,,,,,1027.4
,SPX 10S790D2,JulW1 790 Puts,,,790,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S790D9,JulW2 790 Puts,,,790,P,100709,,0.01,,,,,,-0.027,0.001,0.317,-0.691,-0.014,0,
,SPX 10S790,Jul 790 Puts,100701,16:00:00,790,P,100716,,0.23,0.05,1,1.304,,4125,-0.31,0.005,3.678,-5.912,-0.272,0,-1
,SPX 10T790,Aug 790 Puts,100701,16:00:00,790,P,100820,0.465,4.36,3.6,5.1,0.009,2,3233,-2.98,0.027,42.111,-19.485,-8.267,0.002,5.3
,SPX 10U790,Sep 790 Puts,100701,16:00:00,790,P,100917,0.445,9.26,8.1,10,-0.005,61,10,-4.703,0.035,75.225,-21.34,-21.047,0.01,12.35
,SPX 10S795D2,JulW1 795 Puts,,,795,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S795D9,JulW2 795 Puts,,,795,P,100709,,0.01,,,,,,-0.031,0.001,0.363,-0.788,-0.017,0,
,SPX 10S795,Jul 795 Puts,100701,16:00:00,795,P,100716,,0.25,0.2,1,1.4,20000,4015,-0.345,0.006,4.003,-6.386,-0.299,0,0.6
,SPX 10T795,Aug 795 Puts,100701,16:00:00,795,P,100820,0.457,4.59,3.7,5.2,-0.022,1,3,-3.163,0.029,43.827,-19.627,-8.697,0.002,5.25
,SPX 10S800D2,JulW1 800 Puts,,,800,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S800D9,JulW2 800 Puts,,,800,P,100709,,0.02,,,,,,-0.037,0.001,0.416,-0.899,-0.019,0,
,SPX 10S800,Jul 800 Puts,100701,16:00:00,800,P,100716,0.533,0.28,0.3,0.4,0.25,847,53069,-0.385,0.006,4.358,-8.4,-0.33,0,0.35
,SPX 10T800,Aug 800 Puts,100701,16:00:00,800,P,100820,0.451,4.83,4,5.2,-0.048,1289,17888,-3.357,0.031,45.601,-19.911,-9.15,0.003,4.5
,SPX 10U800,Sep 800 Puts,100701,16:00:00,800,P,100917,0.436,10.02,9,10.5,-0.027,17066,66061,-5.178,0.039,79.761,-21.911,-22.778,0.014,9.8
,SPX 10V800,Oct 800 Puts,100701,16:00:00,800,P,101015,0.427,15.33,13.7,16.8,-0.004,704,281,-6.574,0.043,109.963,-22.023,-39.868,0.03,15.6
,SPX 10X800,Dec 800 Puts,100701,16:00:00,800,P,101217,0.406,26.1,24,27.9,-0.004,1074,118050,-8.774,0.047,165.536,-19.704,-85.252,0.071,26.8
,SPX 11O800,Mar11 800 Puts,100701,16:00:00,800,P,110318,0.392,40.41,38.7,42.6,0.006,,907,-10.331,0.047,229.8,-17.03,-163.431,0.121,-1
,SPX 10S805D2,JulW1 805 Puts,,,805,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S805D9,JulW2 805 Puts,,,805,P,100709,,0.02,,,,,,-0.043,0.001,0.477,-1.027,-0.022,0,
,SPX 10S805,Jul 805 Puts,100701,16:00:00,805,P,100716,,0.3,0.05,0.6,0.1,,1954,-0.428,0.007,4.744,-7.452,-0.363,0,-1
,SPX 10T805,Aug 805 Puts,100701,16:00:00,805,P,100820,0.453,5.08,4.3,5.8,0.004,1,13,-3.562,0.033,47.435,-21.356,-9.625,0.003,6
,SPX 10S810D2,JulW1 810 Puts,,,810,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S810D9,JulW2 810 Puts,,,810,P,100709,,0.02,,,,,,-0.051,0.001,0.547,-1.173,-0.026,0,
,SPX 10S810,Jul 810 Puts,100701,16:00:00,810,P,100716,0.545,0.33,0.3,0.85,0.727,,6058,-0.477,0.008,5.164,-12.535,-0.4,0,-1
,SPX 10T810,Aug 810 Puts,100701,16:00:00,810,P,100820,0.447,5.35,4.5,6,-0.019,,144,-3.78,0.035,49.329,-21.664,-10.124,0.004,-1
,SPX 10U810,Sep 810 Puts,100701,16:00:00,810,P,100917,0.434,10.84,9.9,11.8,0.017,55,27,-5.698,0.043,84.492,-23.574,-24.646,0.018,14.4
,SPX 10S815D2,JulW1 815 Puts,,,815,P,100702,,0,,,,,,0,0,0,0,0,0,
,SPX 10S815D9,JulW2 815 Puts,,,815,P,100709,,0.03,,,,,,-0.06,0.002,0.627,-1.34,-0.03,0,
,SPX 10S815,Jul 815 Puts,100701,16:00:00,815,P,100716,0.542,0.37,0.3,1,0.757,,6161,-0.532,0.009,5.621,-13.865,-0.441,0,-1
,SPX 10T815,Aug 815 Puts,100701,16:00:00,815,P,100820,0.443,5.63,4.8,6.3,-0.014,,20,-4.011,0.038,51.284,-22.424,-10.649,0.005,-1
,SPX 10U815,Sep 815 Puts,100701,16:00:00,815,P,100917,0.43,11.28,10.1,12.7,0.011,,,-5.977,0.045,86.929,-24.001,-25.634,0.021,-1
,SPX 10G820D2,JulW1 820 Calls,,,820,C,100702,,207.28,,,,,,99.988,0,0,0.146,4.49,1,
,SPX 10G820D9,JulW2 820 Calls,,,820,C,100709,,206.99,,,,,,99.778,0.003,2.199,-5.676,20.084,1,
