Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,121204,16:00:00,, ,,,,,,,,,1,0,,,,,1407.1
,SPX 12X1155D7,DecW2 1155 Puts,,,1155,P,121207,,0.01,,,,,,-0.007,0,0.268,-1.026,-0.008,0,
,SPX 12X1155D14,DecW3 1155 Puts,,,1155,P,121214,,0.05,,,,,,-0.056,0.001,1.48,-2.227,-0.081,0,
,SPX 12X1155,Dec 1155 Puts,121204,16:00:00,1155,P,121221,,0.14,0.05,0.2,,,1090,-0.139,0.002,3.728,-3.478,-0.276,0,-1
,SPX 12X1155D28,DecW5 1155 Puts,,,1155,P,121228,,0.26,,,,,,-0.296,0.004,7.139,-4.161,-0.681,0,
,SPX 12X1155D31,DecQ 1155 Puts,121204,16:00:00,1155,P,121231,,0.42,0.1,0.5,-0.286,,,-0.396,0.005,10.499,-5.545,-1.113,0,-1
,SPX 13M1155,Jan13 1155 Puts,121204,16:00:00,1155,P,130118,0.27,0.89,0.5,1.25,-0.011,,4,-0.895,0.011,21.827,-6.326,-3.192,0,-1
,SPX 13N1155,Feb13 1155 Puts,121204,16:00:00,1155,P,130215,0.253,2.75,2.35,2.8,-0.062,,,-2.15,0.022,54.869,-9.079,-11.878,0.001,-1
,SPX 12X1160D7,DecW2 1160 Puts,,,1160,P,121207,,0.01,,,,,,-0.008,0,0.283,-1.069,-0.008,0,
,SPX 12X1160D14,DecW3 1160 Puts,,,1160,P,121214,,0.06,,,,,,-0.061,0.001,1.586,-2.359,-0.088,0,
,SPX 12X1160,Dec 1160 Puts,121204,16:00:00,1160,P,121221,,0.15,0.05,0.2,,,2103,-0.152,0.002,3.977,-3.67,-0.297,0,-1
,SPX 12X1160D28,DecW5 1160 Puts,121204,16:00:00,1160,P,121228,0.308,0.28,0.15,0.45,0.071,,,-0.324,0.005,7.639,-4.662,-0.735,0,-1
,SPX 12X1160D31,DecQ 1160 Puts,121204,16:00:00,1160,P,121231,,0.45,0.1,0.55,-0.267,,1,-0.429,0.006,11.123,-5.814,-1.189,0,-1
