Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160119,16:00:00,, ,,,,,,,,,1,0,,,,,1881.4
,SPX 16M1475D22,JanW4 1475 Puts,160119,16:00:00,1475,P,160122,,0.01,0.05,0.1,,276,9877,-0.008,0,0.154,-0.618,-0.004,0,0.15
,SPX 16M1475D29,JanW5 1475 Puts,160119,16:00:00,1475,P,160129,0.589,0.3,0.45,0.55,0.667,,5943,-0.204,0.002,4.862,-16.444,-0.3,0,-1
,SPX 16N1475D5,FebW1 1475 Puts,160119,16:00:00,1475,P,160205,0.509,0.9,1,1.15,0.2,2,5084,-0.475,0.004,13.159,-19.868,-1.161,0,1.15
,SPX 16N1475D12,FebW2 1475 Puts,160119,16:00:00,1475,P,160212,0.464,1.59,1.65,1.85,0.101,,477,-0.757,0.005,22.522,-21.461,-2.505,0,-1
,SPX 16N1475,Feb 1475 Puts,160119,16:00:00,1475,P,160219,0.429,2.11,1.75,2.45,-0.005,,4260,-0.972,0.006,29.968,-20.076,-3.846,0,-1
,SPX 16N1475D29,FebM 1475 Puts,160119,16:00:00,1475,P,160229,0.401,3.42,3.3,3.6,0.009,,1014,-1.412,0.009,46.583,-21.925,-7.425,0.001,-1
,SPX 16O1475,Mar 1475 Puts,160119,16:00:00,1475,P,160318,0.378,6.26,5.7,6.5,-0.026,,7150,-2.322,0.013,77.263,-24.138,-15.963,0.005,-1
,SPX 16O1475D31,MarQ 1475 Puts,160119,16:00:00,1475,P,160331,0.362,8.27,7.9,8.5,-0.008,,769,-2.85,0.015,99.329,-24.32,-23.876,0.01,-1
,SPX 16P1475,Apr 1475 Puts,160119,16:00:00,1475,P,160415,0.35,10.87,10,10.9,-0.039,,1938,-3.434,0.016,124.019,-24.281,-34.092,0.017,-1
,SPX 16P1475D29,AprM 1475 Puts,160119,16:00:00,1475,P,160429,0.343,13.31,12.9,13.5,-0.008,,51,-4.035,0.018,147.579,-24.533,-45.535,0.025,-1
,SPX 16Q1475,May 1475 Puts,160119,16:00:00,1475,P,160520,0.321,17.28,12.1,17,-0.158,,,-4.645,0.02,181.078,-21.927,-64.153,0.037,-1
,SPX 16R1475,Jun 1475 Puts,160119,16:00:00,1475,P,160617,0.324,21.97,21.3,22.5,-0.007,10,3059,-5.507,0.022,221.62,-23.644,-91.258,0.054,20.28
,SPX 16R1475D30,JunQ 1475 Puts,160119,16:00:00,1475,P,160630,0.319,24.17,23.6,24.4,-0.007,,11,-5.939,0.023,240.527,-23.063,-105.589,0.063,-1
,SPX 16U1475,Sep 1475 Puts,160119,16:00:00,1475,P,160916,0.299,36.09,33.1,39,-0.001,,2010,-7.742,0.026,336.435,-20.489,-195.099,0.106,-1
,SPX 16X1475,Dec 1475 Puts,160119,16:00:00,1475,P,161216,0.286,49.93,48.4,50.9,-0.006,,4744,-9.175,0.027,435.608,-18.157,-319.612,0.147,-1
,SPX 17M1475,Jan17 1475 Puts,160119,16:00:00,1475,P,170120,0.281,54.21,52.8,55.4,-0.002,,4,-9.782,0.026,468.857,-17.231,-369.486,0.16,-1
,SPX 16M1480D22,JanW4 1480 Puts,160119,16:00:00,1480,P,160122,,0.01,0.05,0.15,,1,432,-0.009,0,0.166,-0.668,-0.005,0,0.1
,SPX 16M1480D29,JanW5 1480 Puts,160119,16:00:00,1480,P,160129,0.586,0.32,0.45,0.6,0.656,,440,-0.216,0.002,5.079,-17.251,-0.315,0,-1
,SPX 16N1480D5,FebW1 1480 Puts,160119,16:00:00,1480,P,160205,0.505,0.93,1,1.2,0.183,,110,-0.499,0.004,13.624,-20.201,-1.209,0,-1
,SPX 16N1480D12,FebW2 1480 Puts,,,1480,P,160212,,1.64,,,,,,-0.791,0.006,23.229,-20.355,-2.597,0,
,SPX 16N1480,Feb 1480 Puts,160119,16:00:00,1480,P,160219,0.43,2.18,1.85,2.7,0.046,,32,-1.014,0.007,30.862,-21.357,-3.982,0,-1
,SPX 16N1480D29,FebM 1480 Puts,160119,16:00:00,1480,P,160229,0.399,3.52,3.4,3.7,0.009,,3,-1.468,0.009,47.815,-22.369,-7.663,0.001,-1
,SPX 16O1480,Mar 1480 Puts,160119,16:00:00,1480,P,160318,0.377,6.43,6,6.8,-0.005,,51,-2.404,0.013,79.025,-24.898,-16.421,0.005,-1
,SPX 16P1480,Apr 1480 Puts,160119,16:00:00,1480,P,160415,0.351,11.13,10.6,11.4,-0.012,5,15,-3.541,0.017,126.37,-25.136,-34.935,0.018,11
