Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,130514,16:00:00,, ,,,,,,,,,1,0,,,,,1650.4
,SPX 13Q1360,May 1360 Puts,130514,16:00:00,1360,P,130517,,0.07,,,,,4239,-0.005,0,0.999,-6.533,-0.029,0,-1
,SPX 13Q1360D24,MayW4 1360 Puts,130514,16:00:00,1360,P,130524,,0.12,,0.05,,5,571,-0.041,0,2.86,-4.613,-0.166,0,-1
,SPX 13Q1360D31,MayW5 1360 Puts,130514,16:00:00,1360,P,130531,,0.05,,0.25,,,,-0.037,0,1.892,-1.383,-0.13,0,-1
,SPX 13R1360D7,JunW2 1360 Puts,130514,16:00:00,1360,P,130607,0.292,0.23,0.1,0.35,-0.043,,,-0.131,0.001,6.91,-3.664,-0.64,0,-1
,SPX 13R1360D14,JunW3 1360 Puts,,,1360,P,130614,,0.31,,,,,,-0.206,0.002,9.69,-3.869,-1.046,0,
,SPX 13R1360,Jun 1360 Puts,130514,16:00:00,1360,P,130621,0.256,0.51,0.25,0.6,-0.157,1000,4655,-0.32,0.003,14.892,-4.324,-1.846,0,0.55
,SPX 13R1360D28,JunQ 1360 Puts,130514,16:00:00,1360,P,130628,0.247,0.73,0.25,1.1,-0.068,,11,-0.465,0.005,20.804,-5.168,-2.951,0,-1
,SPX 13S1360,Jul 1360 Puts,130514,16:00:00,1360,P,130719,0.227,1.42,1.05,1.65,-0.049,,21,-0.978,0.009,38.327,-6.264,-7.059,0,-1
,SPX 13T1360,Aug 1360 Puts,130514,16:00:00,1360,P,130816,0.219,3.18,2.6,3.5,-0.041,,5,-1.93,0.016,73.643,-8.245,-18.081,0,-1
,SPX 13Q1365,May 1365 Puts,130514,16:00:00,1365,P,130517,,0.07,,,,,3238,-0.006,0,1.021,-6.584,-0.03,0,-1
,SPX 13Q1365D24,MayW4 1365 Puts,,,1365,P,130524,,0.12,,,,,,-0.043,0,2.956,-4.702,-0.172,0,
,SPX 13Q1365D31,MayW5 1365 Puts,,,1365,P,130531,,0.05,,,,,,-0.04,0,1.995,-1.441,-0.138,0,
,SPX 13R1365D7,JunW2 1365 Puts,,,1365,P,130607,,0.24,,,,,,-0.14,0.001,7.206,-3.921,-0.671,0,
,SPX 13R1365D14,JunW3 1365 Puts,,,1365,P,130614,,0.32,,,,,,-0.22,0.002,10.137,-4.003,-1.101,0,
,SPX 13R1365,Jun 1365 Puts,130514,16:00:00,1365,P,130621,,0.53,0.05,0.6,-0.377,11,221,-0.34,0.004,15.532,-5.1,-1.937,0,0.45
,SPX 13S1365,Jul 1365 Puts,130514,16:00:00,1365,P,130719,0.226,1.49,1.1,1.75,-0.04,,2,-1.037,0.01,39.92,-6.539,-7.409,0,-1
,SPX 13Q1370,May 1370 Puts,130514,16:00:00,1370,P,130517,,0.07,,,,,6078,-0.007,0,1.043,-6.637,-0.031,0,-1
,SPX 13Q1370D24,MayW4 1370 Puts,130514,16:00:00,1370,P,130524,,0.13,,0.05,,,10,-0.046,0,3.056,-4.796,-0.179,0,-1
,SPX 13Q1370D31,MayW5 1370 Puts,130514,16:00:00,1370,P,130531,,0.06,0.05,0.25,,5,,-0.043,0.001,2.106,-1.503,-0.146,0,-1
,SPX 13R1370D7,JunW2 1370 Puts,130514,16:00:00,1370,P,130607,0.287,0.25,0.1,0.4,0,,,-0.149,0.002,7.519,-4.093,-0.704,0,-1
,SPX 13R1370D14,JunW3 1370 Puts,130514,16:00:00,1370,P,130614,0.263,0.34,0.2,0.5,0.029,1,,-0.235,0.003,10.611,-4.251,-1.159,0,0.4
,SPX 13R1370,Jun 1370 Puts,130514,16:00:00,1370,P,130621,0.249,0.55,0.3,0.6,-0.182,2,11741,-0.362,0.004,16.207,-4.435,-2.033,0,0.5
,SPX 13R1370D28,JunQ 1370 Puts,130514,16:00:00,1370,P,130628,0.24,0.79,0.3,1.1,-0.114,,1,-0.526,0.005,22.609,-5.249,-3.249,0,-1
,SPX 13S1370,Jul 1370 Puts,130514,16:00:00,1370,P,130719,0.225,1.56,1.25,1.85,-0.006,5,72,-1.1,0.011,41.585,-6.968,-7.779,0,1.65
,SPX 13T1370,Aug 1370 Puts,130514,16:00:00,1370,P,130816,0.216,3.45,2.9,3.8,-0.029,,,-2.139,0.018,78.859,-8.774,-19.68,0,-1
,SPX 13Q1375,May 1375 Puts,130514,16:00:00,1375,P,130517,,0.07,,0.05,,20,22715,-0.007,0,1.067,-6.694,-0.031,0,-1
,SPX 13Q1375D24,MayW4 1375 Puts,130514,16:00:00,1375,P,130524,,0.13,,0.05,,1969,1306,-0.049,0.001,3.162,-4.894,-0.186,0,0.05
,SPX 13Q1375D31,MayW5 1375 Puts,130514,16:00:00,1375,P,130531,,0.06,0.05,0.3,,20,,-0.047,0.001,2.224,-1.569,-0.155,0,0.2
,SPX 13R1375D7,JunW2 1375 Puts,130514,16:00:00,1375,P,130607,0.281,0.26,0.2,0.3,-0.038,,250,-0.159,0.002,7.85,-4.065,-0.739,0,-1
,SPX 13R1375D14,JunW3 1375 Puts,130514,16:00:00,1375,P,130614,0.267,0.35,0.35,0.55,0.286,172,,-0.252,0.003,11.113,-5.226,-1.222,0,0.45
,SPX 13R1375,Jun 1375 Puts,130514,16:00:00,1375,P,130621,0.253,0.58,0.5,0.65,0,95,38228,-0.386,0.004,16.919,-5.435,-2.136,0,0.6
,SPX 13R1375D28,JunQ 1375 Puts,130514,16:00:00,1375,P,130628,0.238,0.83,0.35,1.15,-0.096,609,1501,-0.559,0.006,23.581,-5.55,-3.412,0,0.8
,SPX 13S1375,Jul 1375 Puts,130514,16:00:00,1375,P,130719,0.221,1.63,1.25,1.85,-0.049,,7732,-1.167,0.012,43.326,-6.903,-8.17,0,-1
,SPX 13T1375,Aug 1375 Puts,130514,16:00:00,1375,P,130816,0.215,3.59,3.1,4,-0.011,,2616,-2.252,0.019,81.606,-9.166,-20.538,0,-1
,SPX 13U1375,Sep 1375 Puts,130514,16:00:00,1375,P,130920,0.209,6.59,6,7.2,0.003,408,12425,-3.65,0.028,130.957,-10.51,-42.55,0.002,6.85
,SPX 13U1375D30,SepQ 1375 Puts,130514,16:00:00,1375,P,130930,0.207,7.53,7,8.2,0.008,458,715,-3.989,0.029,145.566,-10.731,-50.418,0.002,7.45
,SPX 13X1375,Dec 1375 Puts,130514,16:00:00,1375,P,131220,0.202,16.14,15.2,17,-0.002,3550,16644,-6.826,0.04,254.04,-11.512,-127.255,0.014,16.4
,SPX 14M1375,Jan14 1375 Puts,130514,16:00:00,1375,P,140118,0.199,19.19,18.2,20.1,-0.001,50,3105,-7.576,0.042,288.49,-11.408,-159.293,0.02,19.5
,SPX 14O1375,Mar14 1375 Puts,130514,16:00:00,1375,P,140321,0.202,27.69,26.9,29.1,0.011,,2060,-9.62,0.046,365.038,-11.723,-243.773,0.035,-1
,SPX 13Q1380,May 1380 Puts,130514,16:00:00,1380,P,130517,,0.07,,,,,13074,-0.008,0,1.092,-6.755,-0.032,0,-1
,SPX 13Q1380D24,MayW4 1380 Puts,130514,16:00:00,1380,P,130524,,0.13,,0.1,,3110,2500,-0.052,0.001,3.274,-4.997,-0.193,0,0.05
,SPX 13Q1380D31,MayW5 1380 Puts,130514,16:00:00,1380,P,130531,,0.06,,0.2,,39,151,-0.05,0.001,2.352,-1.639,-0.165,0,0.2
,SPX 13R1380D7,JunW2 1380 Puts,130514,16:00:00,1380,P,130607,0.28,0.27,0.15,0.4,0.037,,1,-0.17,0.002,8.202,-4.468,-0.777,0,-1
,SPX 13R1380D14,JunW3 1380 Puts,130514,16:00:00,1380,P,130614,0.258,0.37,0.25,0.55,0.081,86,,-0.27,0.003,11.645,-4.736,-1.288,0,0.45
,SPX 13R1380,Jun 1380 Puts,130514,16:00:00,1380,P,130621,,0.61,0.15,0.8,-0.197,12,3134,-0.412,0.004,17.67,-5.613,-2.246,0,0.7
,SPX 13R1380D28,JunQ 1380 Puts,130514,16:00:00,1380,P,130628,0.237,0.87,0.4,1.25,-0.046,,1,-0.596,0.006,24.605,-6.004,-3.586,0,-1
