Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,170324,16:00:00,, ,,,,,,,,,1,0,,,,,2344.1
,SPX 17O1955D24,MarW4 1955 Puts,170324,16:00:00,1955,P,170324,,0,,0.05,,,214,0,0,0,0,0,0,-1
,SPX 17O1955D31,MarQ 1955 Puts,170324,16:00:00,1955,P,170331,,0.03,0.05,0.15,,2475,1940,-0.015,0,1.076,-1.994,-0.047,0,0.1
,SPX 17P1955D7,AprW2 1955 Puts,170324,16:00:00,1955,P,170407,0.36,0.33,0.25,0.4,0,10,72,-0.104,0.001,7.957,-8.722,-0.576,0,0.35
,SPX 17P1955D13,AprW3 1955 Puts,170324,16:00:00,1955,P,170413,0.325,0.56,0.5,0.65,0.018,,63,-0.178,0.001,13.718,-10.017,-1.238,0,-1
,SPX 17P1955,Apr 1955 Puts,170324,16:00:00,1955,P,170421,0.294,0.94,0.5,1.1,-0.149,,890,-0.258,0.002,22.405,-10.084,-2.468,0,-1
,SPX 17P1955D28,AprW5 1955 Puts,170324,16:00:00,1955,P,170428,0.277,1.29,1.2,1.35,-0.016,,94,-0.416,0.003,31.321,-11.51,-4.058,0,-1
,SPX 17Q1955,May 1955 Puts,170324,16:00:00,1955,P,170519,0.247,2.39,2.15,2.75,0.025,,25,-0.908,0.006,57.446,-12.436,-10.021,0,-1
,SPX 17O1960D24,MarW4 1960 Puts,170324,16:00:00,1960,P,170324,,0,,0.05,,,379,0,0,0,0,0,0,-1
,SPX 17O1960D31,MarQ 1960 Puts,170324,16:00:00,1960,P,170331,,0.04,0.05,0.15,,,1909,-0.016,0,1.114,-2.045,-0.049,0,-1
,SPX 17P1960D7,AprW2 1960 Puts,170324,16:00:00,1960,P,170407,0.356,0.33,0.25,0.4,0,,172,-0.108,0.001,8.166,-8.687,-0.592,0,-1
,SPX 17P1960D13,AprW3 1960 Puts,170324,16:00:00,1960,P,170413,0.32,0.57,0.45,0.65,-0.035,,43,-0.186,0.001,14.067,-9.772,-1.274,0,-1
,SPX 17P1960,Apr 1960 Puts,170324,16:00:00,1960,P,170421,0.292,0.96,0.55,1.1,-0.135,,1168,-0.269,0.002,22.916,-10.32,-2.533,0,-1
,SPX 17P1960D28,AprW5 1960 Puts,170324,16:00:00,1960,P,170428,0.275,1.32,1.15,1.45,-0.015,,28,-0.433,0.003,32.073,-11.684,-4.172,0,-1
,SPX 17Q1960,May 1960 Puts,170324,16:00:00,1960,P,170519,0.245,2.46,2.2,2.85,0.028,,45,-0.944,0.006,58.862,-12.762,-10.317,0,-1
,SPX 17Q1960D31,MayM 1960 Puts,170324,16:00:00,1960,P,170531,0.231,3.32,3.1,3.4,-0.021,,,-1.262,0.008,78.062,-12.477,-15.818,0,-1
,SPX 17R1960,Jun 1960 Puts,170324,16:00:00,1960,P,170616,0.225,4.9,4.4,5.2,-0.02,,78,-1.819,0.011,107.122,-13.756,-25.33,0,-1
,SPX 17R1960D30,JunQ 1960 Puts,170324,16:00:00,1960,P,170630,0.221,6.58,6.3,6.7,-0.012,,,-2.357,0.013,136.065,-14.632,-36.542,0,-1
,SPX 17O1965D24,MarW4 1965 Puts,170324,16:00:00,1965,P,170324,,0,,0.05,,,329,0,0,0,0,0,0,-1
,SPX 17O1965D31,MarQ 1965 Puts,170324,16:00:00,1965,P,170331,,0.04,0.05,0.15,,43,2066,-0.017,0,1.153,-2.097,-0.051,0,0.1
,SPX 17P1965D7,AprW2 1965 Puts,170324,16:00:00,1965,P,170407,0.351,0.34,0.25,0.4,-0.029,,59,-0.113,0.001,8.384,-8.652,-0.61,0,-1
,SPX 17P1965D13,AprW3 1965 Puts,170324,16:00:00,1965,P,170413,,0.59,,1.2,1.034,,179,-0.194,0.001,14.429,-10.238,-1.311,0,-1
,SPX 17P1965,Apr 1965 Puts,170324,16:00:00,1965,P,170421,0.291,0.97,0.6,1.15,-0.093,,558,-0.28,0.002,23.445,-10.889,-2.6,0,-1
,SPX 17P1965D28,AprW5 1965 Puts,170324,16:00:00,1965,P,170428,0.274,1.35,1.3,1.45,0.022,,,-0.451,0.003,32.852,-12.211,-4.29,0,-1
,SPX 17Q1965,May 1965 Puts,170324,16:00:00,1965,P,170519,0.242,2.52,2.25,2.85,0.004,13,14,-0.981,0.006,60.321,-12.626,-10.624,0,2.21
,SPX 17Q1965D31,MayM 1965 Puts,170324,16:00:00,1965,P,170531,0.229,3.41,3.2,3.5,-0.018,,,-1.31,0.008,79.915,-12.797,-16.276,0,-1
,SPX 17O1970D24,MarW4 1970 Puts,170324,16:00:00,1970,P,170324,,0,,0.05,,,580,0,0,0,0,0,0,-1
,SPX 17O1970D31,MarQ 1970 Puts,170324,16:00:00,1970,P,170331,,0.04,0.05,0.15,,,3209,-0.017,0,1.194,-2.153,-0.053,0,-1
,SPX 17P1970D7,AprW2 1970 Puts,170324,16:00:00,1970,P,170407,0.349,0.35,0.3,0.4,0,,65,-0.119,0.001,8.61,-9.08,-0.629,0,-1
,SPX 17P1970D13,AprW3 1970 Puts,170324,16:00:00,1970,P,170413,0.317,0.6,0.55,0.7,0.05,,82,-0.202,0.001,14.805,-10.834,-1.35,0,-1
,SPX 17P1970,Apr 1970 Puts,170324,16:00:00,1970,P,170421,0.287,0.99,0.6,1.15,-0.121,1,644,-0.292,0.002,23.992,-10.704,-2.67,0,0.7
,SPX 17P1970D28,AprW5 1970 Puts,170324,16:00:00,1970,P,170428,0.271,1.38,1.3,1.5,0.014,,101,-0.47,0.003,33.656,-12.281,-4.413,0,-1
,SPX 17Q1970,May 1970 Puts,170324,16:00:00,1970,P,170519,0.241,2.59,2.35,2.95,0.019,1,117,-1.02,0.007,61.825,-13.08,-10.942,0,2.45
,SPX 17Q1970D31,MayM 1970 Puts,170324,16:00:00,1970,P,170531,0.228,3.5,3.3,3.6,-0.014,,10,-1.36,0.009,81.82,-13.007,-16.749,0,-1
,SPX 17R1970,Jun 1970 Puts,170324,16:00:00,1970,P,170616,0.223,5.15,4.8,5.5,0,,580,-1.952,0.012,111.934,-14.417,-26.753,0,-1
,SPX 17R1970D30,JunQ 1970 Puts,170324,16:00:00,1970,P,170630,0.219,6.91,6.7,7.1,-0.001,,,-2.52,0.014,141.77,-15.168,-38.494,0,-1
,SPX 17O1975D24,MarW4 1975 Puts,170324,16:00:00,1975,P,170324,,0,,0.05,,,349,0,0,0,0,0,0,-1
,SPX 17O1975D31,MarQ 1975 Puts,170324,16:00:00,1975,P,170331,,0.04,0.05,0.15,,6699,3085,-0.018,0,1.237,-2.21,-0.055,0,0.2
,SPX 17P1975D7,AprW2 1975 Puts,170324,16:00:00,1975,P,170407,0.35,0.36,0.35,0.45,0.111,,153,-0.124,0.001,8.845,-10.127,-0.648,0,-1
,SPX 17P1975D13,AprW3 1975 Puts,170324,16:00:00,1975,P,170413,0.314,0.61,0.55,0.75,0.066,,95,-0.212,0.002,15.195,-11.126,-1.391,0,-1
,SPX 17P1975,Apr 1975 Puts,170324,16:00:00,1975,P,170421,0.283,1.01,0.55,1.2,-0.139,1,3361,-0.305,0.002,24.559,-10.739,-2.743,0,0.7
,SPX 17P1975D28,AprW5 1975 Puts,170324,16:00:00,1975,P,170428,0.268,1.41,1.35,1.5,0.014,,1696,-0.49,0.003,34.488,-12.473,-4.541,0,-1
,SPX 17Q1975,May 1975 Puts,170324,16:00:00,1975,P,170519,0.24,2.65,2.4,3.1,0.042,19,6552,-1.061,0.007,63.375,-13.425,-11.273,0,3
,SPX 17Q1975D31,MayM 1975 Puts,170324,16:00:00,1975,P,170531,0.226,3.59,3.4,3.7,-0.011,,452,-1.413,0.009,83.779,-13.222,-17.24,0,-1
,SPX 17R1975,Jun 1975 Puts,170324,16:00:00,1975,P,170616,0.222,5.28,4.9,5.7,0.004,,18915,-2.023,0.012,114.431,-14.638,-27.5,0,-1
,SPX 17R1975D30,JunQ 1975 Puts,170324,16:00:00,1975,P,170630,0.217,7.08,6.9,7.2,-0.004,,1261,-2.606,0.015,144.718,-15.384,-39.516,0,-1
,SPX 17S1975,Jul 1975 Puts,170324,16:00:00,1975,P,170721,0.212,9.51,9.1,9.8,-0.007,3,16,-3.307,0.018,183.521,-15.691,-57.662,0,9.2
,SPX 17S1975D31,JulM 1975 Puts,170324,16:00:00,1975,P,170731,0.21,10.76,10.4,11.1,-0.001,,553,-3.71,0.019,203.318,-15.77,-68.185,0,-1
,SPX 17U1975,Sep 1975 Puts,170324,16:00:00,1975,P,170915,0.207,17.67,17.1,18.1,-0.004,,2141,-5.228,0.022,292.919,-16.474,-124.622,0.001,-1
,SPX 17X1975,Dec 1975 Puts,170324,16:00:00,1975,P,171215,0.202,31.83,30.5,32.1,-0.017,,12825,-7.251,0.027,448.21,-15.697,-264.001,0.006,-1
,SPX 18M1975,Jan18 1975 Puts,170324,16:00:00,1975,P,180119,0.2,36.42,32.8,40.4,0.005,,359,-7.779,0.027,498.237,-15.201,-321.603,0.009,-1
,SPX 17O1980D24,MarW4 1980 Puts,170324,16:00:00,1980,P,170324,,0,,0.05,,,3303,0,0,0,0,0,0,-1
,SPX 17O1980D31,MarQ 1980 Puts,170324,16:00:00,1980,P,170331,,0.04,0.05,0.2,,,328,-0.019,0,1.282,-2.271,-0.057,0,-1
,SPX 17P1980D7,AprW2 1980 Puts,170324,16:00:00,1980,P,170407,0.345,0.37,0.35,0.45,0.081,,109,-0.13,0.001,9.091,-10.104,-0.668,0,-1
,SPX 17P1980D13,AprW3 1980 Puts,170324,16:00:00,1980,P,170413,0.312,0.63,0.6,0.75,0.079,,120,-0.221,0.002,15.601,-11.543,-1.433,0,-1
,SPX 17P1980,Apr 1980 Puts,170324,16:00:00,1980,P,170421,0.282,1.04,0.7,1.2,-0.096,1,560,-0.318,0.002,25.146,-11.342,-2.819,0,0.7
,SPX 17P1980D28,AprW5 1980 Puts,170324,16:00:00,1980,P,170428,0.266,1.45,1.4,1.55,0.021,,512,-0.511,0.004,35.35,-12.793,-4.673,0,-1
,SPX 17Q1980,May 1980 Puts,170324,16:00:00,1980,P,170519,0.237,2.73,2.45,3.1,0.018,,460,-1.104,0.007,64.973,-13.534,-11.616,0,-1
,SPX 17Q1980D31,MayM 1980 Puts,170324,16:00:00,1980,P,170531,0.224,3.68,3.5,3.8,-0.008,,15,-1.468,0.009,85.794,-13.441,-17.749,0,-1
,SPX 17R1980,Jun 1980 Puts,170324,16:00:00,1980,P,170616,0.219,5.42,4.9,5.7,-0.022,,95,-2.097,0.013,116.989,-14.625,-28.271,0,-1
,SPX 17R1980D30,JunQ 1980 Puts,170324,16:00:00,1980,P,170630,0.216,7.25,7,7.4,-0.007,,,-2.695,0.015,147.731,-15.487,-40.569,0,-1
,SPX 17O1985D24,MarW4 1985 Puts,170324,16:00:00,1985,P,170324,,0,,0.05,,,272,0,0,0,0,0,0,-1
,SPX 17O1985D31,MarQ 1985 Puts,170324,16:00:00,1985,P,170331,,0.04,0.05,0.2,,20,190,-0.021,0,1.33,-2.334,-0.059,0,0.13
,SPX 17P1985D7,AprW2 1985 Puts,170324,16:00:00,1985,P,170407,0.341,0.38,0.35,0.45,0.053,3,186,-0.136,0.001,9.346,-10.082,-0.689,0,0.4
,SPX 17P1985D13,AprW3 1985 Puts,170324,16:00:00,1985,P,170413,0.308,0.64,0.6,0.75,0.062,,231,-0.231,0.002,16.022,-11.511,-1.477,0,-1
,SPX 17P1985,Apr 1985 Puts,170324,16:00:00,1985,P,170421,0.279,1.06,0.6,1.3,-0.104,,473,-0.332,0.002,25.754,-11.385,-2.898,0,-1
,SPX 17P1985D28,AprW5 1985 Puts,170324,16:00:00,1985,P,170428,0.263,1.48,1.4,1.6,0.014,,623,-0.533,0.004,36.241,-12.873,-4.812,0,-1
,SPX 17Q1985,May 1985 Puts,170324,16:00:00,1985,P,170519,0.235,2.8,2.55,3.2,0.029,,10,-1.149,0.008,66.62,-13.769,-11.972,0,-1
,SPX 17Q1985D31,MayM 1985 Puts,170324,16:00:00,1985,P,170531,0.223,3.78,3.6,3.9,-0.008,,,-1.525,0.01,87.866,-13.664,-18.276,0,-1
,SPX 17O1990D24,MarW4 1990 Puts,170324,16:00:00,1990,P,170324,,0,,0.05,,,421,0,0,0,0,0,0,-1
,SPX 17O1990D31,MarQ 1990 Puts,170324,16:00:00,1990,P,170331,,0.04,0.05,0.2,,20,390,-0.022,0,1.38,-2.4,-0.062,0,0.1
