Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,140522,16:00:00,, ,,,,,,,,,1,0,,,,,1892.5
,SPX 14Q1570D23,MayW4 1570 Puts,140522,16:00:00,1570,P,140523,,0.03,,0.05,,,802,0,0,0.502,-3.481,-0.011,0,-1
,SPX 14Q1570D30,MayW5 1570 Puts,140522,16:00:00,1570,P,140530,,0.09,,0.05,,391,113,-0.011,0,2.229,-4.291,-0.113,0,0.05
,SPX 14R1570D6,JunW1 1570 Puts,140522,16:00:00,1570,P,140606,,0.11,0.05,0.2,,,137,-0.05,0,3.525,-3.201,-0.243,0,-1
,SPX 14R1570D13,JunW2 1570 Puts,140522,16:00:00,1570,P,140613,0.288,0.18,0.15,0.25,0.111,,,-0.098,0.001,5.871,-3.751,-0.504,0,-1
,SPX 14R1570,Jun 1570 Puts,140522,16:00:00,1570,P,140620,,0.29,0.05,0.75,0.345,6,5558,-0.178,0.002,9.487,-4.14,-0.959,0,0.25
,SPX 14R1570D30,JunQ 1570 Puts,140522,16:00:00,1570,P,140630,,0.57,0.2,1.05,0.105,,4,-0.35,0.003,17.651,-5.249,-2.243,0,-1
,SPX 14S1570,Jul 1570 Puts,140522,16:00:00,1570,P,140718,0.229,1.13,0.75,1.65,0.062,1,10,-0.758,0.007,33.075,-6.728,-5.421,0,1.1
,SPX 14T1570,Aug 1570 Puts,140522,16:00:00,1570,P,140815,0.215,2.76,2.3,3.3,0.014,,11,-1.664,0.013,69.936,-8.788,-15.735,0,-1
,SPX 14X1570,Dec 1570 Puts,,,1570,P,141219,,15.37,,,,,,-6.163,0.031,261.064,-12.166,-122.86,0.009,
,SPX 15M1570,Jan15 1570 Puts,,,1570,P,150117,,18.62,,,,,,-6.453,0.032,300.549,-12.16,-156.631,0.013,
,SPX 14Q1575D23,MayW4 1575 Puts,140522,16:00:00,1575,P,140523,,0.03,,0.05,,,8052,0,0,0.508,-3.471,-0.011,0,-1
,SPX 14Q1575D30,MayW5 1575 Puts,140522,16:00:00,1575,P,140530,,0.09,,0.1,,3324,397,-0.012,0,2.278,-4.325,-0.116,0,0.05
,SPX 14R1575D6,JunW1 1575 Puts,140522,16:00:00,1575,P,140606,,0.12,0.1,0.15,,35,1011,-0.053,0.001,3.653,-3.279,-0.253,0,0.1
,SPX 14R1575D13,JunW2 1575 Puts,140522,16:00:00,1575,P,140613,0.283,0.18,0.15,0.25,0.111,,281,-0.104,0.001,6.11,-3.709,-0.527,0,-1
,SPX 14R1575,Jun 1575 Puts,140522,16:00:00,1575,P,140620,0.269,0.31,0.3,0.4,0.129,81,32178,-0.189,0.002,9.884,-4.803,-1.004,0,0.4
,SPX 14R1575D30,JunQ 1575 Puts,140522,16:00:00,1575,P,140630,0.256,0.59,0.6,1.05,0.407,,773,-0.37,0.004,18.363,-7.095,-2.347,0,-1
,SPX 14S1575,Jul 1575 Puts,140522,16:00:00,1575,P,140718,0.229,1.18,1,1.7,0.136,2,3423,-0.802,0.007,34.413,-7.34,-5.679,0,1.1
,SPX 14T1575,Aug 1575 Puts,140522,16:00:00,1575,P,140815,0.212,2.87,2.4,3.3,-0.007,,1476,-1.747,0.014,72.32,-8.853,-16.392,0,-1
,SPX 14U1575,Sep 1575 Puts,140522,16:00:00,1575,P,140919,0.204,5.63,5,6.2,-0.007,1,5193,-3.036,0.022,124.329,-10.394,-37.063,0.001,5.3
