Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160624,16:00:00,, ,,,,,,,,,1,0,,,,,2037.3
,SPX 16R1720D24,JunW4 1720 Puts,160624,16:00:00,1720,P,160624,,0,,0.05,,,556,0,0,0,0,0,0,-1
,SPX 16R1720D30,JunQ 1720 Puts,160624,16:00:00,1720,P,160630,0.577,0.68,0.8,1.05,0.368,,214,-0.457,0.004,9.062,-39.769,-0.495,0,-1
,SPX 16S1720D1,JulW1 1720 Puts,160624,16:00:00,1720,P,160701,0.557,0.79,1.05,1.25,0.456,,205,-0.552,0.005,10.65,-42.347,-0.631,0,-1
,SPX 16S1720D8,JulW2 1720 Puts,160624,16:00:00,1720,P,160708,0.446,1.76,1.9,2.2,0.165,,192,-1.08,0.009,24.332,-37.866,-2.173,0,-1
,SPX 16S1720,Jul 1720 Puts,160624,16:00:00,1720,P,160715,0.395,2.65,2.15,3.2,0.011,,1277,-1.459,0.012,36.803,-33.838,-4.107,0,-1
,SPX 16S1720D22,JulW4 1720 Puts,160624,16:00:00,1720,P,160722,0.365,4.14,3.9,4.4,0.002,,203,-2.045,0.015,55.649,-34.36,-7.777,0,-1
,SPX 16T1720,Aug 1720 Puts,160624,16:00:00,1720,P,160819,0.317,9.64,9.1,10.1,-0.004,,107,-3.976,0.024,118.662,-33.144,-26.384,0,-1
,SPX 16U1720,Sep 1720 Puts,160624,16:00:00,1720,P,160916,0.296,15.95,15.3,16.5,-0.003,40,192,-5.478,0.028,181.147,-31.678,-54.057,0,16.12
,SPX 16U1720D30,SepQ 1720 Puts,160624,16:00:00,1720,P,160930,0.287,19,18.4,19.6,0,,,-6.353,0.031,210.858,-30.317,-70.668,0.001,-1
,SPX 16V1720,Oct 1720 Puts,160624,16:00:00,1720,P,161021,0.28,23.5,22.9,24.2,0.002,,,-7.236,0.033,250.229,-29.132,-95.947,0.002,-1
,SPX 16R1725D24,JunW4 1725 Puts,160624,16:00:00,1725,P,160624,,0,,0.05,,,2522,0,0,0,0,0,0,-1
,SPX 16R1725D30,JunQ 1725 Puts,160624,16:00:00,1725,P,160630,0.571,0.71,0.8,1.1,0.338,,4484,-0.484,0.005,9.437,-40.487,-0.518,0,-1
,SPX 16S1725D1,JulW1 1725 Puts,160624,16:00:00,1725,P,160701,0.551,0.82,1.1,1.25,0.439,,694,-0.585,0.006,11.099,-43.141,-0.662,0,-1
,SPX 16S1725D8,JulW2 1725 Puts,160624,16:00:00,1725,P,160708,0.443,1.83,1.95,2.3,0.164,,269,-1.137,0.01,25.202,-38.918,-2.266,0,-1
,SPX 16S1725,Jul 1725 Puts,160624,16:00:00,1725,P,160715,0.391,2.75,2.2,3.3,-0.007,182,4108,-1.529,0.012,37.972,-34.112,-4.266,0,2.3
,SPX 16S1725D22,JulW4 1725 Puts,160624,16:00:00,1725,P,160722,0.363,4.28,4,4.6,0,4,4599,-2.135,0.016,57.205,-35.073,-8.049,0,3.93
,SPX 16T1725,Aug 1725 Puts,160624,16:00:00,1725,P,160819,0.315,9.9,9.4,10.5,-0.004,130,5988,-4.12,0.025,121.234,-33.655,-27.144,0,8.1
,SPX 16T1725D31,AugM 1725 Puts,160624,16:00:00,1725,P,160831,0.304,12.72,12.3,13.3,0.006,,1678,-4.865,0.027,150.521,-32.917,-39.121,0,-1
