Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,170106,16:00:00,, ,,,,,,,,,1,0,,,,,2277.1
,SPX 17M1895D6,JanW1 1895 Puts,170106,16:00:00,1895,P,170106,,0,,0.05,,,414,0,0,0,0,0,0,-1
,SPX 17M1895D13,JanW2 1895 Puts,170106,16:00:00,1895,P,170113,,0.07,,0.05,,,21,-0.004,0,1.757,-3.61,-0.081,0,-1
,SPX 17M1895,Jan 1895 Puts,170106,16:00:00,1895,P,170120,,0.05,,0.35,,,563,-0.02,0,1.967,-1.884,-0.117,0,-1
,SPX 17M1895D27,JanW4 1895 Puts,170106,16:00:00,1895,P,170127,0.281,0.13,0.1,0.25,,,28,-0.058,0,4.856,-3.608,-0.39,0,-1
,SPX 17M1895D31,JanM 1895 Puts,170106,16:00:00,1895,P,170131,0.268,0.18,0.2,0.3,0.389,,403,-0.085,0.001,6.842,-4.087,-0.616,0,-1
,SPX 17N1895D3,FebW1 1895 Puts,170106,16:00:00,1895,P,170203,0.259,0.25,0.25,0.35,0.2,,137,-0.126,0.001,9.021,-4.348,-0.882,0,-1
,SPX 17N1895,Feb 1895 Puts,170106,16:00:00,1895,P,170217,0.241,0.73,0.5,1,0.027,,144,-0.352,0.003,22.954,-6.463,-3.012,0,-1
,SPX 17N1895D28,FebM 1895 Puts,170106,16:00:00,1895,P,170228,0.225,1.18,1.1,1.2,-0.025,,174,-0.579,0.004,35.774,-7.079,-5.62,0,-1
,SPX 17O1895,Mar 1895 Puts,170106,16:00:00,1895,P,170317,0.224,2.7,2.25,2.85,-0.056,,,-1.204,0.008,68.058,-10.23,-13.525,0,-1
,SPX 17O1895D31,MarQ 1895 Puts,170106,16:00:00,1895,P,170331,0.221,4.2,4,4.2,-0.024,,162,-1.741,0.011,96.694,-12.174,-22.532,0,-1
,SPX 17M1900D6,JanW1 1900 Puts,170106,16:00:00,1900,P,170106,,0,,0.05,,,3423,0,0,0,0,0,0,-1
,SPX 17M1900D13,JanW2 1900 Puts,170106,16:00:00,1900,P,170113,,0.07,,0.05,,139,8288,-0.004,0,1.786,-3.626,-0.082,0,0.03
,SPX 17M1900,Jan 1900 Puts,170106,16:00:00,1900,P,170120,,0.05,0.05,0.1,,722,40935,-0.021,0,2.028,-1.924,-0.121,0,0.1
,SPX 17M1900D27,JanW4 1900 Puts,170106,16:00:00,1900,P,170127,0.281,0.13,0.15,0.25,,4,545,-0.061,0.001,5.021,-3.973,-0.405,0,0.23
,SPX 17M1900D31,JanM 1900 Puts,170106,16:00:00,1900,P,170131,0.265,0.19,0.2,0.3,0.316,,3580,-0.089,0.001,7.074,-4.128,-0.639,0,-1
,SPX 17N1900D3,FebW1 1900 Puts,170106,16:00:00,1900,P,170203,0.257,0.26,0.25,0.4,0.231,33,4264,-0.132,0.001,9.339,-4.526,-0.917,0,0.3
,SPX 17N1900,Feb 1900 Puts,170106,16:00:00,1900,P,170217,0.238,0.75,0.7,0.8,0,3,14626,-0.369,0.003,23.691,-6.452,-3.123,0,0.8
,SPX 17N1900D28,FebM 1900 Puts,170106,16:00:00,1900,P,170228,0.223,1.22,1.1,1.25,-0.033,,4137,-0.605,0.005,36.888,-7.245,-5.825,0,-1
,SPX 17O1900,Mar 1900 Puts,170106,16:00:00,1900,P,170317,0.223,2.78,2.55,2.8,-0.04,25,38826,-1.253,0.008,69.893,-10.644,-13.966,0,2.55
,SPX 17O1900D31,MarQ 1900 Puts,170106,16:00:00,1900,P,170331,0.22,4.32,4.1,4.3,-0.028,,1307,-1.807,0.011,99.052,-12.391,-23.211,0,-1
,SPX 17P1900,Apr 1900 Puts,170106,16:00:00,1900,P,170421,0.218,6.86,6.4,7,-0.023,,72,-2.544,0.014,141.093,-14.179,-39.46,0,-1
,SPX 17R1900,Jun 1900 Puts,170106,16:00:00,1900,P,170616,0.214,15.08,14.7,15.5,0,546,27762,-4.696,0.022,253.697,-16.422,-100.579,0,14.7
,SPX 17R1900D30,JunQ 1900 Puts,170106,16:00:00,1900,P,170630,0.213,17.51,17.1,17.6,-0.01,2,6132,-5.067,0.023,282.459,-16.541,-120.389,0.001,16.95
,SPX 17U1900,Sep 1900 Puts,170106,16:00:00,1900,P,170915,0.212,30.42,29.8,31,-0.003,500,9223,-7.332,0.026,416.027,-16.735,-236.789,0.004,29.2
,SPX 17X1900,Dec 1900 Puts,170106,16:00:00,1900,P,171215,0.21,45.86,44.7,46.7,-0.004,10,31142,-9.427,0.029,550.531,-15.781,-399.327,0.011,44.9
,SPX 18M1900,Jan18 1900 Puts,170106,16:00:00,1900,P,180119,0.208,36.14,49.3,51.5,0.395,,1589,-11.503,0.04,538.662,-15.096,-389.826,0.015,-1
,SPX 17M1905D6,JanW1 1905 Puts,170106,16:00:00,1905,P,170106,,0,,0.05,,,305,0,0,0,0,0,0,-1
