Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,130613,16:00:00,, ,,,,,,,,,1,0,,,,,1636.4
,SPX 13R1315D14,JunW3 1315 Puts,,,1315,P,130614,,0,,,,,,-0.001,0,0.07,-0.366,-0.001,0,
,SPX 13R1315,Jun 1315 Puts,130613,16:00:00,1315,P,130621,,0.01,,0.05,,,3355,-0.01,0,0.377,-0.757,-0.016,0,-1
,SPX 13S1315D5,JulW1 1315 Puts,,,1315,P,130705,,0.16,,,,,,-0.137,0.002,4.607,-3.055,-0.393,0,
,SPX 13S1315D12,JulW2 1315 Puts,,,1315,P,130712,,0.28,,,,,,-0.247,0.003,8.03,-3.899,-0.826,0,
,SPX 13S1315,Jul 1315 Puts,130613,16:00:00,1315,P,130719,,0.52,0.1,0.65,-0.231,9,2477,-0.405,0.004,13.465,-5.437,-1.616,0,0.8
,SPX 13T1315,Aug 1315 Puts,130613,16:00:00,1315,P,130816,0.274,2.07,1.5,2.35,-0.063,6,1,-1.276,0.011,43.485,-8.822,-8.208,0.001,2.3
,SPX 13R1320D14,JunW3 1320 Puts,,,1320,P,130614,,0,,,,,,-0.001,0,0.072,-0.372,-0.001,0,
,SPX 13R1320,Jun 1320 Puts,130613,16:00:00,1320,P,130621,,0.01,,0.05,,,4820,-0.011,0,0.401,-0.797,-0.017,0,-1
,SPX 13R1320D28,JunQ 1320 Puts,130613,16:00:00,1320,P,130628,,0.09,,0.1,,,,-0.076,0.001,2.643,-2.708,-0.18,0,-1
,SPX 13S1320D5,JulW1 1320 Puts,,,1320,P,130705,,0.17,,,,,,-0.147,0.002,4.87,-3.202,-0.418,0,
,SPX 13S1320D12,JulW2 1320 Puts,,,1320,P,130712,,0.3,,,,,,-0.265,0.003,8.475,-4.083,-0.878,0,
,SPX 13S1320,Jul 1320 Puts,130613,16:00:00,1320,P,130719,,0.55,0.05,0.65,-0.327,35,3427,-0.432,0.005,14.126,-5.658,-1.708,0,0.85
,SPX 13T1320,Aug 1320 Puts,130613,16:00:00,1320,P,130816,0.271,2.16,1.5,2.45,-0.079,10,6318,-1.344,0.011,45.101,-8.937,-8.576,0.001,2.2
,SPX 13U1320,Sep 1320 Puts,130613,16:00:00,1320,P,130920,0.259,4.97,4.4,5.5,-0.004,,6,-2.571,0.018,89.657,-11.6,-23.933,0.006,-1
,SPX 13R1325D14,JunW3 1325 Puts,130613,16:00:00,1325,P,130614,,0,,0.05,,,4302,-0.001,0,0.074,-0.378,-0.001,0,-1
,SPX 13R1325,Jun 1325 Puts,130613,16:00:00,1325,P,130621,,0.01,,0.05,,,36358,-0.012,0,0.426,-0.84,-0.018,0,-1
,SPX 13R1325D28,JunQ 1325 Puts,130613,16:00:00,1325,P,130628,,0.1,0.05,0.1,,,2340,-0.082,0.001,2.791,-2.834,-0.191,0,-1
,SPX 13S1325D5,JulW1 1325 Puts,130613,16:00:00,1325,P,130705,,0.18,,0.25,0.389,,21,-0.159,0.002,5.151,-3.358,-0.445,0,-1
,SPX 13S1325D12,JulW2 1325 Puts,130613,16:00:00,1325,P,130712,0.302,0.32,0.15,0.5,0,167,111,-0.284,0.003,8.948,-4.276,-0.934,0,0.3
,SPX 13S1325,Jul 1325 Puts,130613,16:00:00,1325,P,130719,,0.58,0.1,0.65,-0.345,,22235,-0.461,0.005,14.822,-5.889,-1.805,0,-1
,SPX 13T1325,Aug 1325 Puts,130613,16:00:00,1325,P,130816,0.275,2.26,2.1,2.55,0.031,19,3988,-1.417,0.012,46.778,-10.06,-8.962,0.001,2.35
,SPX 13U1325,Sep 1325 Puts,130613,16:00:00,1325,P,130920,0.257,5.15,4.6,5.7,0,,11584,-2.688,0.019,92.313,-11.865,-24.83,0.007,-1
,SPX 13U1325D30,SepQ 1325 Puts,130613,16:00:00,1325,P,130930,0.253,6.13,5.4,6.7,0.002,10,28,-3,0.021,106.481,-12.139,-31.048,0.01,8
,SPX 13X1325,Dec 1325 Puts,130613,16:00:00,1325,P,131220,0.238,14.73,13.5,15.4,-0.016,10,19701,-5.484,0.03,209.877,-12.963,-94.006,0.04,15.35
,SPX 14M1325,Jan14 1325 Puts,130613,16:00:00,1325,P,140118,0.235,17.65,16.5,18.6,-0.003,10,2561,-6.312,0.032,242.34,-12.845,-120.764,0.053,18.5
,SPX 14O1325,Mar14 1325 Puts,130613,16:00:00,1325,P,140321,0.233,26.13,24.5,26.9,-0.016,,7900,-8.039,0.036,316.483,-12.849,-193.82,0.078,-1
,SPX 13R1330D14,JunW3 1330 Puts,,,1330,P,130614,,0,,,,,,-0.001,0,0.076,-0.384,-0.001,0,
,SPX 13R1330,Jun 1330 Puts,130613,16:00:00,1330,P,130621,,0.01,,0.05,,,5374,-0.013,0,0.453,-0.886,-0.019,0,-1
,SPX 13R1330D28,JunQ 1330 Puts,130613,16:00:00,1330,P,130628,,0.11,,0.2,,,29,-0.088,0.001,2.949,-2.967,-0.203,0,-1
,SPX 13S1330D5,JulW1 1330 Puts,,,1330,P,130705,,0.19,,,,,,-0.171,0.002,5.451,-3.523,-0.474,0,
,SPX 13S1330D12,JulW2 1330 Puts,,,1330,P,130712,,0.34,,,,,,-0.305,0.004,9.449,-4.479,-0.993,0,
,SPX 13S1330,Jul 1330 Puts,130613,16:00:00,1330,P,130719,0.287,0.61,0.3,0.7,-0.164,8,2761,-0.492,0.005,15.556,-5.286,-1.908,0,0.7
,SPX 13T1330,Aug 1330 Puts,130613,16:00:00,1330,P,130816,0.269,2.36,1.75,2.7,-0.047,10,31,-1.493,0.013,48.52,-9.798,-9.366,0.001,2.65
,SPX 13U1330,Sep 1330 Puts,130613,16:00:00,1330,P,130920,0.255,5.34,4.8,5.9,0.002,,24,-2.81,0.02,95.042,-12.135,-25.762,0.008,-1
,SPX 13R1335D14,JunW3 1335 Puts,,,1335,P,130614,,0,,,,,,-0.001,0,0.078,-0.391,-0.002,0,
,SPX 13R1335,Jun 1335 Puts,130613,16:00:00,1335,P,130621,,0.02,,0.05,,,2346,-0.014,0,0.483,-0.936,-0.02,0,-1
,SPX 13S1335D5,JulW1 1335 Puts,,,1335,P,130705,,0.2,,,,,,-0.184,0.002,5.77,-3.697,-0.505,0,
,SPX 13S1335D12,JulW2 1335 Puts,,,1335,P,130712,,0.36,,,,,,-0.328,0.004,9.982,-4.693,-1.057,0,
,SPX 13S1335,Jul 1335 Puts,130613,16:00:00,1335,P,130719,0.28,0.65,0.2,0.75,-0.262,,1338,-0.526,0.006,16.329,-4.986,-2.017,0,-1
,SPX 13T1335,Aug 1335 Puts,130613,16:00:00,1335,P,130816,0.267,2.46,1.9,2.8,-0.045,,,-1.574,0.014,50.327,-10.091,-9.791,0.002,-1
,SPX 13R1340D14,JunW3 1340 Puts,,,1340,P,130614,,0,,,,,,-0.001,0,0.081,-0.397,-0.002,0,
,SPX 13R1340,Jun 1340 Puts,130613,16:00:00,1340,P,130621,,0.02,,0.05,,,4683,-0.016,0,0.515,-0.989,-0.022,0,-1
,SPX 13R1340D28,JunQ 1340 Puts,130613,16:00:00,1340,P,130628,,0.12,0.05,0.25,,,90,-0.103,0.001,3.299,-3.257,-0.23,0,-1
,SPX 13S1340D5,JulW1 1340 Puts,,,1340,P,130705,,0.21,,,,,,-0.199,0.002,6.111,-3.881,-0.539,0,
,SPX 13S1340D12,JulW2 1340 Puts,,,1340,P,130712,,0.38,,,,,,-0.353,0.004,10.547,-4.919,-1.125,0,
,SPX 13S1340,Jul 1340 Puts,130613,16:00:00,1340,P,130719,0.282,0.68,0.35,0.8,-0.162,,1829,-0.562,0.006,17.144,-5.743,-2.134,0,-1
,SPX 13T1340,Aug 1340 Puts,130613,16:00:00,1340,P,130816,0.265,2.57,2,2.9,-0.043,8,99,-1.66,0.014,52.203,-10.393,-10.236,0.002,2.7
,SPX 13U1340,Sep 1340 Puts,130613,16:00:00,1340,P,130920,0.252,5.74,5.2,6.3,0.002,,38,-3.071,0.022,100.729,-12.691,-27.74,0.01,-1
,SPX 13R1345D14,JunW3 1345 Puts,,,1345,P,130614,,0,,,,,,-0.001,0,0.083,-0.405,-0.002,0,
,SPX 13R1345,Jun 1345 Puts,130613,16:00:00,1345,P,130621,,0.02,,0.05,,,1253,-0.017,0,0.549,-1.046,-0.023,0,-1
,SPX 13S1345D5,JulW1 1345 Puts,,,1345,P,130705,,0.23,,,,,,-0.214,0.003,6.474,-4.076,-0.575,0,
,SPX 13S1345D12,JulW2 1345 Puts,,,1345,P,130712,,0.41,,,,,,-0.38,0.005,11.147,-5.156,-1.199,0,
,SPX 13S1345,Jul 1345 Puts,130613,16:00:00,1345,P,130719,0.276,0.72,0.25,0.85,-0.236,,428,-0.6,0.007,18.004,-5.548,-2.259,0,-1
,SPX 13T1345,Aug 1345 Puts,130613,16:00:00,1345,P,130816,0.264,2.68,2.15,3.1,-0.019,,1,-1.75,0.015,54.15,-10.872,-10.704,0.002,-1
