Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160610,16:00:00,, ,,,,,,,,,1,0,,,,,2096.1
,SPX 16R1750D10,JunW2 1750 Puts,160610,16:00:00,1750,P,160610,,0,,0.05,,,6328,0,0,0,0,0,0,-1
,SPX 16R1750,Jun 1750 Puts,160610,16:00:00,1750,P,160617,0.515,0.17,0.15,0.35,0.471,233,51344,-0.039,0,3.291,-12.894,-0.155,0,0.15
,SPX 16R1750D24,JunW4 1750 Puts,160610,16:00:00,1750,P,160624,0.382,0.52,0.45,0.55,-0.038,93,2952,-0.249,0.002,10.643,-12.187,-0.816,0,0.5
,SPX 16R1750D30,JunQ 1750 Puts,160610,16:00:00,1750,P,160630,0.345,0.82,0.8,0.9,0.037,63,13436,-0.433,0.004,17.213,-13.706,-1.642,0,0.85
,SPX 16S1750D1,JulW1 1750 Puts,160610,16:00:00,1750,P,160701,0.342,0.93,0.9,1,0.011,226,1213,-0.479,0.004,19.057,-14.203,-1.886,0,0.83
,SPX 16S1750D8,JulW2 1750 Puts,160610,16:00:00,1750,P,160708,0.313,1.31,1.25,1.4,0,1,764,-0.674,0.005,27.381,-14.256,-3.239,0,1.1
,SPX 16S1750,Jul 1750 Puts,160610,16:00:00,1750,P,160715,0.3,1.89,1.55,2.1,-0.032,500,21084,-0.921,0.007,37.864,-15.516,-5.153,0,1.95
,SPX 16S1750D29,JulM 1750 Puts,160610,16:00:00,1750,P,160729,0.281,3.52,3.4,3.6,-0.011,52,3731,-1.612,0.011,65.32,-17.939,-11.56,0,3.03
,SPX 16T1750,Aug 1750 Puts,160610,16:00:00,1750,P,160819,0.269,6.42,6.2,6.7,0.005,471,8215,-2.611,0.016,106.903,-20.373,-24.513,0,6.45
