Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,151210,16:00:00,, ,,,,,,,,,1,0,,,,,2052.2
,SPX 15X1675D11,DecW2 1675 Puts,151210,16:00:00,1675,P,151211,,0,,0.05,,,9076,0,0,0,-0.001,0,0,-1
,SPX 15X1675,Dec 1675 Puts,151210,16:00:00,1675,P,151218,,0.03,0.1,0.15,,9014,36983,-0.032,0,0.914,-1.891,-0.04,0,0.15
,SPX 15X1675D24,DecW4 1675 Puts,151210,16:00:00,1675,P,151224,0.407,0.19,0.3,0.4,0.842,,1583,-0.151,0.002,4.838,-9.121,-0.335,0,-1
,SPX 15X1675D31,DecQ 1675 Puts,151210,16:00:00,1675,P,151231,0.364,0.51,0.6,0.75,0.333,,8256,-0.331,0.003,11.621,-11.113,-1.069,0,-1
,SPX 16M1675D8,Jan16W2 1675 Puts,151210,16:00:00,1675,P,160108,0.338,1.13,1.15,1.3,0.088,,42,-0.636,0.005,23.226,-13.315,-2.725,0,-1
,SPX 16M1675,Jan16 1675 Puts,151210,16:00:00,1675,P,160115,0.328,1.71,1.5,2.15,0.064,571,4537,-0.905,0.007,33.128,-15.215,-4.477,0,1.8
,SPX 16M1675D22,Jan16W4 1675 Puts,151210,16:00:00,1675,P,160122,0.313,2.5,2.4,2.6,0,,54,-1.222,0.009,46.19,-16.069,-7.249,0,-1
,SPX 16M1675D29,Jan16M 1675 Puts,151210,16:00:00,1675,P,160129,0.307,3.44,3.3,3.6,0.003,,180,-1.577,0.01,60.016,-17.78,-10.597,0,-1
,SPX 16N1675,Feb16 1675 Puts,151210,16:00:00,1675,P,160219,0.292,6.25,5.7,6.6,-0.018,6,1479,-2.474,0.014,98.302,-19.804,-22.386,0,5.87
,SPX 16N1675D29,Feb16M 1675 Puts,151210,16:00:00,1675,P,160229,0.284,7.66,7.3,7.9,-0.008,,263,-2.933,0.016,117.329,-20.037,-29.666,0.001,-1
,SPX 16O1675,Mar16 1675 Puts,151210,16:00:00,1675,P,160318,0.281,10.95,10.4,11.4,-0.005,,7429,-3.814,0.019,153.398,-21.509,-45.274,0.003,-1
,SPX 16O1675D31,Mar16Q 1675 Puts,151210,16:00:00,1675,P,160331,0.276,13.19,12.7,13.5,-0.007,,36,-4.332,0.021,178.525,-21.51,-58.191,0.004,-1
,SPX 16R1675,Jun16 1675 Puts,151210,16:00:00,1675,P,160617,0.262,26.98,26.2,27.8,0.001,,2624,-7.199,0.028,309.267,-20.965,-150.178,0.023,-1
,SPX 16U1675,Sep16 1675 Puts,151210,16:00:00,1675,P,160916,0.252,42.77,41.6,43.6,-0.004,,2084,-9.078,0.028,437.035,-18.993,-285.208,0.053,-1
,SPX 16X1675,Dec16 1675 Puts,151210,16:00:00,1675,P,161216,0.246,57.18,55.5,58.6,-0.002,,1141,-10.605,0.03,544.038,-17.085,-437.595,0.082,-1
,SPX 15X1680D11,DecW2 1680 Puts,151210,16:00:00,1680,P,151211,,0,,0.05,,,4391,0,0,0.001,-0.001,0,0,-1
,SPX 15X1680,Dec 1680 Puts,151210,16:00:00,1680,P,151218,,0.03,0.05,0.2,,,1249,-0.035,0,0.972,-2.002,-0.043,0,-1
,SPX 15X1680D24,DecW4 1680 Puts,151210,16:00:00,1680,P,151224,0.405,0.2,0.3,0.45,0.9,,121,-0.161,0.002,5.078,-9.744,-0.353,0,-1
,SPX 15X1680D31,DecQ 1680 Puts,151210,16:00:00,1680,P,151231,0.361,0.53,0.6,0.8,0.321,,91,-0.35,0.003,12.101,-11.383,-1.119,0,-1
,SPX 16M1680D8,Jan16W2 1680 Puts,151210,16:00:00,1680,P,160108,0.336,1.17,1.2,1.35,0.085,,28,-0.667,0.005,24.041,-13.684,-2.837,0,-1
,SPX 16M1680,Jan16 1680 Puts,151210,16:00:00,1680,P,160115,0.326,1.77,1.55,2.2,0.056,512,1141,-0.947,0.007,34.201,-15.601,-4.649,0,1.85
,SPX 16M1680D22,Jan16W4 1680 Puts,151210,16:00:00,1680,P,160122,0.311,2.58,2.5,2.7,0.008,,28,-1.275,0.009,47.557,-16.556,-7.507,0,-1
,SPX 16M1680D29,Jan16M 1680 Puts,151210,16:00:00,1680,P,160129,0.305,3.55,3.4,3.7,0,,23,-1.642,0.011,61.656,-18.152,-10.952,0,-1
,SPX 16N1680,Feb16 1680 Puts,151210,16:00:00,1680,P,160219,0.291,6.42,5.9,6.8,-0.011,,179,-2.564,0.015,100.561,-20.259,-23.037,0.001,-1
,SPX 16N1680D29,Feb16M 1680 Puts,151210,16:00:00,1680,P,160229,0.283,7.86,7.5,8.1,-0.008,,52,-3.034,0.017,119.882,-20.358,-30.495,0.001,-1
,SPX 16O1680,Mar16 1680 Puts,151210,16:00:00,1680,P,160318,0.28,11.22,10.7,11.8,0.003,,,-3.935,0.02,156.355,-21.918,-46.427,0.003,-1
,SPX 15X1685D11,DecW2 1685 Puts,151210,16:00:00,1685,P,151211,,0,,0.05,,,1345,0,0,0.001,-0.001,0,0,-1
,SPX 15X1685,Dec 1685 Puts,151210,16:00:00,1685,P,151218,,0.04,0.05,0.3,,,906,-0.038,0,1.035,-2.12,-0.046,0,-1
,SPX 15X1685D24,DecW4 1685 Puts,151210,16:00:00,1685,P,151224,0.4,0.21,0.3,0.45,0.81,,43,-0.171,0.002,5.331,-9.703,-0.373,0,-1
,SPX 15X1685D31,DecQ 1685 Puts,151210,16:00:00,1685,P,151231,0.358,0.55,0.65,0.8,0.327,,94,-0.37,0.003,12.603,-11.762,-1.172,0,-1
,SPX 16M1685D8,Jan16W2 1685 Puts,151210,16:00:00,1685,P,160108,0.334,1.22,1.25,1.4,0.09,,25,-0.701,0.006,24.887,-14.176,-2.954,0,-1
,SPX 16M1685,Jan16 1685 Puts,151210,16:00:00,1685,P,160115,0.323,1.84,1.6,2.25,0.049,236,318,-0.992,0.007,35.313,-15.88,-4.829,0,1.95
,SPX 16M1685D22,Jan16W4 1685 Puts,151210,16:00:00,1685,P,160122,0.308,2.67,2.55,2.8,0.004,,4,-1.331,0.009,48.967,-16.817,-7.776,0,-1
,SPX 16M1685D29,Jan16M 1685 Puts,151210,16:00:00,1685,P,160129,0.303,3.67,3.5,3.8,-0.005,,4,-1.71,0.011,63.343,-18.531,-11.319,0,-1
,SPX 16N1685,Feb16 1685 Puts,151210,16:00:00,1685,P,160219,0.289,6.6,6.1,7,-0.008,,2,-2.657,0.016,102.871,-20.602,-23.709,0.001,-1
,SPX 16N1685D29,Feb16M 1685 Puts,151210,16:00:00,1685,P,160229,0.281,8.08,7.7,8.3,-0.01,,,-3.14,0.018,122.489,-20.684,-31.35,0.001,-1
,SPX 15X1690D11,DecW2 1690 Puts,151210,16:00:00,1690,P,151211,,0,,0.05,,,1654,0,0,0.001,-0.001,0,0,-1
,SPX 15X1690,Dec 1690 Puts,151210,16:00:00,1690,P,151218,,0.04,0.05,0.3,,,4324,-0.041,0.001,1.102,-2.247,-0.049,0,-1
,SPX 15X1690D24,DecW4 1690 Puts,151210,16:00:00,1690,P,151224,0.397,0.23,0.35,0.45,0.739,,119,-0.183,0.002,5.598,-10.101,-0.394,0,-1
,SPX 15X1690D31,DecQ 1690 Puts,151210,16:00:00,1690,P,151231,0.355,0.58,0.65,0.85,0.293,5,80,-0.391,0.004,13.128,-11.95,-1.228,0,0.75
,SPX 16M1690D8,Jan16W2 1690 Puts,151210,16:00:00,1690,P,160108,0.329,1.27,1.25,1.4,0.047,,19,-0.736,0.006,25.766,-14.119,-3.076,0,-1
,SPX 16M1690,Jan16 1690 Puts,151210,16:00:00,1690,P,160115,0.32,1.9,1.65,2.3,0.037,,483,-1.039,0.008,36.463,-16.166,-5.016,0,-1
,SPX 16M1690D22,Jan16W4 1690 Puts,151210,16:00:00,1690,P,160122,0.305,2.76,2.6,2.8,-0.022,,9,-1.39,0.01,50.422,-16.963,-8.056,0,-1
,SPX 16M1690D29,Jan16M 1690 Puts,151210,16:00:00,1690,P,160129,0.301,3.78,3.6,3.9,-0.008,,35,-1.781,0.012,65.078,-18.796,-11.701,0,-1
,SPX 16N1690,Feb16 1690 Puts,151210,16:00:00,1690,P,160219,0.289,6.79,6.3,7.6,0.024,,49,-2.754,0.016,105.234,-21.433,-24.403,0.001,-1
,SPX 16N1690D29,Feb16M 1690 Puts,151210,16:00:00,1690,P,160229,0.279,8.3,7.9,8.5,-0.012,,1,-3.249,0.018,125.149,-20.898,-32.231,0.002,-1
,SPX 16O1690,Mar16 1690 Puts,151210,16:00:00,1690,P,160318,0.277,11.78,11.2,12.2,-0.007,,5,-4.189,0.022,162.421,-22.414,-48.827,0.004,-1
,SPX 15X1695D11,DecW2 1695 Puts,151210,16:00:00,1695,P,151211,,0,,0.05,,,690,0,0,0.001,-0.002,0,0,-1
,SPX 15X1695,Dec 1695 Puts,151210,16:00:00,1695,P,151218,,0.04,0.05,0.2,,,801,-0.044,0.001,1.174,-2.382,-0.053,0,-1
,SPX 15X1695D24,DecW4 1695 Puts,151210,16:00:00,1695,P,151224,0.395,0.24,0.35,0.5,0.792,5,58,-0.195,0.002,5.88,-10.794,-0.416,0,0.5
,SPX 15X1695D31,DecQ 1695 Puts,151210,16:00:00,1695,P,151231,0.351,0.6,0.7,0.85,0.283,,186,-0.414,0.004,13.678,-12.143,-1.287,0,-1
,SPX 16M1695D8,Jan16W2 1695 Puts,151210,16:00:00,1695,P,160108,0.327,1.32,1.3,1.45,0.045,,18,-0.773,0.006,26.68,-14.516,-3.204,0,-1
