Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160525,16:00:00,, ,,,,,,,,,1,0,,,,,2090.4
,SPX 16Q1710D27,MayW4 1710 Puts,160525,16:00:00,1710,P,160527,,0.03,,0.05,,,2127,-0.001,0,0.493,-2.623,-0.013,0,-1
,SPX 16Q1710D31,MayM 1710 Puts,160525,16:00:00,1710,P,160531,,0.05,,0.05,,,547,-0.005,0,1.136,-2.861,-0.048,0,-1
,SPX 16R1710D3,JunW1 1710 Puts,160525,16:00:00,1710,P,160603,,0.05,,0.05,,,54,-0.016,0,1.461,-2.386,-0.074,0,-1
,SPX 16R1710D10,JunW2 1710 Puts,160525,16:00:00,1710,P,160610,,0.1,0.1,0.2,,,394,-0.045,0,3.294,-2.862,-0.229,0,-1
,SPX 16R1710,Jun 1710 Puts,160525,16:00:00,1710,P,160617,0.312,0.19,0.1,0.4,0.316,,1862,-0.103,0.001,5.957,-4.618,-0.507,0,-1
,SPX 16R1710D24,JunW4 1710 Puts,160525,16:00:00,1710,P,160624,0.294,0.45,0.5,0.6,0.222,,268,-0.248,0.002,12.969,-6.708,-1.395,0,-1
,SPX 16R1710D30,JunQ 1710 Puts,160525,16:00:00,1710,P,160630,0.284,0.74,0.75,0.9,0.122,,1,-0.387,0.003,19.842,-7.944,-2.457,0,-1
,SPX 16S1710,Jul 1710 Puts,160525,16:00:00,1710,P,160715,0.267,1.55,1.4,1.85,0.052,,362,-0.761,0.006,37.755,-9.917,-5.983,0,-1
,SPX 16S1710D29,JulM 1710 Puts,160525,16:00:00,1710,P,160729,0.257,2.76,2.75,2.95,0.033,,261,-1.273,0.009,61.172,-11.911,-11.889,0,-1
,SPX 16T1710,Aug 1710 Puts,160525,16:00:00,1710,P,160819,0.251,5.07,4.8,5.3,-0.004,51,30,-2.088,0.013,98.538,-14.132,-23.858,0,5.11
,SPX 16Q1715D27,MayW4 1715 Puts,160525,16:00:00,1715,P,160527,,0.03,,0.05,,,7130,-0.001,0,0.501,-2.637,-0.013,0,-1
