Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,140317,16:00:00,, ,,,,,,,,,1,0,,,,,1858.8
,SPX 14O1510,Mar 1510 Puts,140317,16:00:00,1510,P,140321,,0.01,,0.05,,509,2528,-0.007,0,0.317,-1.25,-0.009,0,-1
,SPX 14O1510D28,MarW5 1510 Puts,140317,16:00:00,1510,P,140328,0.434,0.18,0.1,0.25,-0.056,37,74,-0.078,0.001,3.98,-5.932,-0.247,0,0.15
,SPX 14O1510D31,MarQ 1510 Puts,140317,16:00:00,1510,P,140331,,0.17,0.05,0.6,0.941,,50,-0.09,0.001,4.185,-4.832,-0.288,0,-1
,SPX 14P1510D4,AprW1 1510 Puts,140317,16:00:00,1510,P,140404,0.382,0.42,0.35,0.5,0.024,,42,-0.189,0.002,8.974,-8.608,-0.758,0,-1
,SPX 14P1510D11,AprW2 1510 Puts,140317,16:00:00,1510,P,140411,0.346,0.7,0.6,0.75,-0.029,,1012,-0.311,0.003,15.022,-9.348,-1.569,0,-1
,SPX 14P1510,Apr 1510 Puts,140317,16:00:00,1510,P,140418,0.322,0.9,0.45,1.25,-0.056,1,1595,-0.418,0.003,19.67,-9.195,-2.343,0,0.9
,SPX 14P1510D25,AprW4 1510 Puts,140317,16:00:00,1510,P,140425,0.304,1.26,1.1,1.4,-0.008,,1000,-0.584,0.005,27.344,-10.032,-3.786,0,-1
,SPX 14Q1510,May 1510 Puts,140317,16:00:00,1510,P,140516,0.279,2.63,2.15,3.1,-0.004,2,193,-1.158,0.008,52.757,-12.102,-9.839,0,2.5
,SPX 14R1510,Jun 1510 Puts,140317,16:00:00,1510,P,140620,0.253,5.27,4.7,5.8,-0.004,,,-2.198,0.014,98.168,-12.946,-25.491,0,-1
,SPX 14R1510D30,JunQ 1510 Puts,140317,16:00:00,1510,P,140630,0.247,6.15,5.4,6.8,-0.008,,,-2.456,0.015,112.508,-12.917,-31.621,0,-1
,SPX 14X1510,Dec 1510 Puts,,,1510,P,141219,,26.42,,,,,,-6.565,0.029,345.185,-13.698,-205.211,0.018,
,SPX 15M1510,Jan15 1510 Puts,,,1510,P,150117,,29.62,,,,,,-7.065,0.03,377.159,-13.328,-241.479,0.023,
,SPX 14O1515,Mar 1515 Puts,140317,16:00:00,1515,P,140321,,0.01,,0.05,,805,12838,-0.008,0,0.331,-1.294,-0.01,0,0.05
,SPX 14O1515D28,MarW5 1515 Puts,140317,16:00:00,1515,P,140328,0.43,0.19,0.15,0.2,-0.053,39,70,-0.082,0.001,4.116,-6.191,-0.257,0,0.2
,SPX 14P1515D4,AprW1 1515 Puts,140317,16:00:00,1515,P,140404,0.377,0.43,0.35,0.5,0,,84,-0.199,0.002,9.28,-8.584,-0.788,0,-1
,SPX 14P1515D11,AprW2 1515 Puts,140317,16:00:00,1515,P,140411,0.343,0.72,0.6,0.8,-0.028,,,-0.326,0.003,15.509,-9.562,-1.627,0,-1
,SPX 14P1515,Apr 1515 Puts,140317,16:00:00,1515,P,140418,0.313,0.93,0.5,1.05,-0.161,,32,-0.439,0.004,20.314,-8.508,-2.431,0,-1
,SPX 14P1515D25,AprW4 1515 Puts,140317,16:00:00,1515,P,140425,0.301,1.3,1.15,1.45,0,,1,-0.613,0.005,28.214,-10.351,-3.928,0,-1
,SPX 14Q1515,May 1515 Puts,140317,16:00:00,1515,P,140516,0.278,2.71,2.25,3.2,0.007,,,-1.21,0.009,54.26,-12.445,-10.178,0,-1
,SPX 14X1515,Dec 1515 Puts,,,1515,P,141219,,26.92,,,,,,-6.749,0.031,349.831,-13.807,-209.243,0.019,
,SPX 14O1520,Mar 1520 Puts,140317,16:00:00,1520,P,140321,,0.02,,0.05,,255,6136,-0.008,0,0.345,-1.34,-0.01,0,0.05
,SPX 14O1520D28,MarW5 1520 Puts,140317,16:00:00,1520,P,140328,0.423,0.2,0.15,0.2,-0.1,5,467,-0.087,0.001,4.26,-6.162,-0.267,0,0.2
,SPX 14O1520D31,MarQ 1520 Puts,140317,16:00:00,1520,P,140331,,0.18,0.05,0.65,0.944,,10,-0.101,0.001,4.527,-5.128,-0.314,0,-1
,SPX 14P1520D4,AprW1 1520 Puts,140317,16:00:00,1520,P,140404,0.371,0.44,0.35,0.5,-0.023,,214,-0.21,0.002,9.601,-8.56,-0.819,0,-1
,SPX 14P1520D11,AprW2 1520 Puts,140317,16:00:00,1520,P,140411,0.34,0.75,0.65,0.8,-0.027,,,-0.343,0.003,16.018,-9.869,-1.689,0,-1
,SPX 14P1520,Apr 1520 Puts,140317,16:00:00,1520,P,140418,0.312,0.96,0.55,1.15,-0.115,10,447,-0.461,0.004,20.985,-9.125,-2.525,0,0.85
,SPX 14P1520D25,AprW4 1520 Puts,140317,16:00:00,1520,P,140425,0.299,1.34,1.2,1.5,0.007,,1,-0.643,0.005,29.117,-10.681,-4.075,0,-1
,SPX 14Q1520,May 1520 Puts,140317,16:00:00,1520,P,140516,0.275,2.8,2.35,3.3,0.011,,,-1.265,0.009,55.812,-12.7,-10.531,0,-1
,SPX 14R1520,Jun 1520 Puts,140317,16:00:00,1520,P,140620,0.25,5.59,5,6.2,0.002,,6,-2.377,0.015,103.152,-13.419,-27.128,0,-1
,SPX 14R1520D30,JunQ 1520 Puts,140317,16:00:00,1520,P,140630,0.244,6.5,5.8,7.2,0,,,-2.65,0.017,117.94,-13.45,-33.571,0,-1
,SPX 14X1520,Dec 1520 Puts,,,1520,P,141219,,27.43,,,,,,-6.941,0.032,354.523,-13.916,-213.362,0.021,
,SPX 15M1520,Jan15 1520 Puts,,,1520,P,150117,,30.71,,,,,,-7.455,0.033,386.814,-13.525,-250.698,0.027,
,SPX 14O1525,Mar 1525 Puts,140317,16:00:00,1525,P,140321,,0.02,,0.05,,1705,47044,-0.009,0,0.36,-1.389,-0.011,0,0.05
,SPX 14O1525D28,MarW5 1525 Puts,140317,16:00:00,1525,P,140328,0.422,0.2,0.15,0.25,0,4235,5756,-0.092,0.001,4.411,-6.749,-0.277,0,0.2
,SPX 14O1525D31,MarQ 1525 Puts,140317,16:00:00,1525,P,140331,,0.19,0.05,0.4,0.211,,3832,-0.108,0.001,4.712,-5.286,-0.329,0,-1
,SPX 14P1525D4,AprW1 1525 Puts,140317,16:00:00,1525,P,140404,0.371,0.46,0.4,0.55,0.043,,1303,-0.221,0.002,9.936,-9.342,-0.851,0,-1
,SPX 14P1525D11,AprW2 1525 Puts,140317,16:00:00,1525,P,140411,0.335,0.77,0.65,0.8,-0.052,11,177,-0.361,0.003,16.548,-9.836,-1.753,0,0.75
,SPX 14P1525,Apr 1525 Puts,140317,16:00:00,1525,P,140418,0.317,0.99,0.9,1.2,0.061,4,9576,-0.485,0.004,21.683,-10.768,-2.622,0,1
,SPX 14P1525D25,AprW4 1525 Puts,140317,16:00:00,1525,P,140425,0.296,1.39,1.25,1.55,0.007,,41,-0.675,0.005,30.056,-10.929,-4.23,0,-1
,SPX 14Q1525,May 1525 Puts,140317,16:00:00,1525,P,140516,0.273,2.89,2.4,3.4,0.003,25,9005,-1.322,0.01,57.415,-12.863,-10.899,0,3
,SPX 14R1525,Jun 1525 Puts,140317,16:00:00,1525,P,140620,0.247,5.75,5.1,6.3,-0.009,,9401,-2.473,0.016,105.742,-13.569,-27.99,0,-1
,SPX 14R1525D30,JunQ 1525 Puts,140317,16:00:00,1525,P,140630,0.242,6.69,5.9,7.4,-0.006,,49,-2.753,0.017,120.756,-13.588,-34.597,0,-1
,SPX 14U1525,Sep 1525 Puts,140317,16:00:00,1525,P,140919,0.227,15.88,14.9,16.8,-0.002,,6747,-5.475,0.028,238.306,-14.356,-105.445,0.007,-1
