Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,130307,16:00:00,, ,,,,,,,,,1,0,,,,,1544.3
,SPX 13O1270D8,MarW2 1270 Puts,,,1270,P,130308,,0.05,,,,,,0,0,0.651,-5.419,-0.015,0,
,SPX 13O1270,Mar 1270 Puts,130307,16:00:00,1270,P,130315,,0.05,,0.05,,,5426,-0.012,0,1.194,-2.618,-0.055,0,-1
,SPX 13O1270D22,MarW4 1270 Puts,,,1270,P,130322,,0.17,,,,,,-0.06,0.001,4.328,-4.433,-0.314,0,
,SPX 13O1270D28,MarQ 1270 Puts,130307,16:00:00,1270,P,130328,,0.19,,0.35,0.842,,5,-0.111,0.001,5.43,-3.569,-0.466,0,-1
,SPX 13P1270D5,AprW1 1270 Puts,130307,16:00:00,1270,P,130405,0.287,0.38,0.2,0.5,-0.079,,,-0.213,0.002,10.576,-4.502,-1.138,0,-1
,SPX 13P1270D12,AprW2 1270 Puts,,,1270,P,130412,,0.57,,,,,,-0.331,0.003,15.285,-5.468,-1.904,0,
,SPX 13P1270,Apr 1270 Puts,130307,16:00:00,1270,P,130419,0.258,0.69,0.45,0.8,-0.087,5,51,-0.451,0.005,18.798,-5.124,-2.58,0,0.65
,SPX 13Q1270,May 1270 Puts,130307,16:00:00,1270,P,130517,0.232,1.85,1.45,1.9,-0.092,76,3472,-1.181,0.011,45.094,-6.837,-8.99,0,1.85
,SPX 13R1270,Jun 1270 Puts,130307,16:00:00,1270,P,130621,0.222,3.95,3.5,4.4,0,,5000,-2.322,0.019,84.703,-8.775,-23.008,0.003,-1
,SPX 13O1275D8,MarW2 1275 Puts,130307,16:00:00,1275,P,130308,,0.05,,0.05,,,20556,0,0,0.661,-5.411,-0.016,0,-1
,SPX 13O1275,Mar 1275 Puts,130307,16:00:00,1275,P,130315,,0.05,,0.05,,20,44034,-0.013,0,1.232,-2.661,-0.057,0,-1
,SPX 13O1275D22,MarW4 1275 Puts,130307,16:00:00,1275,P,130322,,0.17,0.05,0.15,,218,1547,-0.064,0.001,4.478,-4.52,-0.327,0,0.1
,SPX 13O1275D28,MarQ 1275 Puts,130307,16:00:00,1275,P,130328,,0.19,,0.3,0.579,198,392,-0.119,0.001,5.677,-3.683,-0.489,0,-1
,SPX 13P1275D5,AprW1 1275 Puts,130307,16:00:00,1275,P,130405,0.284,0.4,0.25,0.5,-0.05,,30,-0.227,0.002,11.016,-4.794,-1.192,0,-1
,SPX 13P1275D12,AprW2 1275 Puts,130307,16:00:00,1275,P,130412,0.269,0.59,0.4,0.7,-0.068,,,-0.352,0.004,15.923,-5.326,-1.995,0,-1
