Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160622,16:00:00,, ,,,,,,,,,1,0,,,,,2085.4
,SPX 16R1700D24,JunW4 1700 Puts,160622,16:00:00,1700,P,160624,,0.01,,0.1,,2051,7517,-0.018,0,0.265,-1.245,-0.007,0,0.05
,SPX 16R1700D30,JunQ 1700 Puts,160622,16:00:00,1700,P,160630,0.551,0.29,0.4,0.6,0.724,614,3054,-0.223,0.002,4.958,-19.462,-0.276,0,0.5
,SPX 16S1700D1,JulW1 1700 Puts,160622,16:00:00,1700,P,160701,0.539,0.41,0.55,0.75,0.561,12,6200,-0.285,0.003,6.701,-21.91,-0.407,0,0.4
,SPX 16S1700D8,JulW2 1700 Puts,160622,16:00:00,1700,P,160708,0.442,0.81,0.95,1.15,0.296,,2471,-0.482,0.004,13.967,-20.337,-1.186,0,-1
,SPX 16S1700,Jul 1700 Puts,160622,16:00:00,1700,P,160715,0.39,1.06,0.95,1.6,0.198,20,31877,-0.63,0.005,19.496,-17.746,-1.985,0,1.15
,SPX 16S1700D22,JulW4 1700 Puts,160622,16:00:00,1700,P,160722,0.36,1.87,1.8,2.15,0.059,209,302,-0.928,0.007,32.498,-19.01,-4.113,0,1.99
,SPX 16T1700,Aug 1700 Puts,160622,16:00:00,1700,P,160819,0.316,5.47,5,5.9,-0.011,42,12194,-2.094,0.012,83.011,-22.19,-16.686,0,4.7
,SPX 16T1700D31,AugM 1700 Puts,160622,16:00:00,1700,P,160831,0.302,7.24,7,7.5,-0.011,5,5195,-2.58,0.014,106.411,-22.317,-24.726,0,5.33
,SPX 16U1700,Sep 1700 Puts,160622,16:00:00,1700,P,160916,0.294,9.88,9.3,10.3,-0.018,10954,41586,-3.213,0.016,136.771,-22.906,-36.833,0,7.6
,SPX 16U1700D30,SepQ 1700 Puts,160622,16:00:00,1700,P,160930,0.286,12.17,11.6,12.6,-0.006,,8981,-3.817,0.018,163.54,-22.872,-49.493,0,-1
,SPX 16V1700,Oct 1700 Puts,160622,16:00:00,1700,P,161021,0.278,15.37,14.8,16,-0.007,2,2,-4.531,0.021,198.692,-22.498,-68.665,0.001,12.73
,SPX 16V1700D31,OctM 1700 Puts,160622,16:00:00,1700,P,161031,0.273,16.8,16.2,17.5,0.003,,2535,-4.921,0.022,215.66,-22.035,-79.158,0.001,-1
,SPX 16X1700,Dec 1700 Puts,160622,16:00:00,1700,P,161216,0.263,24.52,23.9,25.3,0.002,336,62559,-6.314,0.025,290.572,-21.27,-133.03,0.004,24.1
