Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,120911,16:00:00,, ,,,,,,,,,1,0,,,,,1433.6
,SPX 12U1175D14,SepW3 1175 Puts,120911,16:00:00,1175,P,120914,,0.06,,0.05,,,2340,-0.026,0,0.957,-4.9,-0.032,0,-1
,SPX 12U1175,Sep 1175 Puts,120911,16:00:00,1175,P,120921,,0.15,0.05,0.15,,726,41360,-0.081,0.001,3.008,-5.949,-0.172,0,0.1
,SPX 12V1175D5,OctW1 1175 Puts,120911,16:00:00,1175,P,121005,0.319,0.33,0.25,0.4,-0.03,175,252,-0.274,0.003,8.301,-4.957,-0.807,0,0.3
,SPX 12V1175D12,OctW2 1175 Puts,120911,16:00:00,1175,P,121012,0.301,0.58,0.3,0.8,-0.052,,,-0.453,0.005,13.837,-6.066,-1.618,0,-1
,SPX 12V1175,Oct 1175 Puts,120911,16:00:00,1175,P,121019,,0.75,0.15,1,-0.2,300,11321,-0.604,0.007,17.972,-6.614,-2.361,0,1
,SPX 12W1175,Nov 1175 Puts,120911,16:00:00,1175,P,121116,0.259,2.55,1.8,2.55,-0.149,240,15294,-1.726,0.016,50.127,-8.828,-10.171,0,2
,SPX 12X1175,Dec 1175 Puts,120911,16:00:00,1175,P,121221,0.255,5.89,4.9,6.7,-0.017,5,43182,-3.337,0.027,96.962,-12.041,-27.728,0,5.6
,SPX 13M1175,Jan13 1175 Puts,120911,16:00:00,1175,P,130118,0.252,9.24,8.1,10.2,-0.01,,2325,-4.63,0.033,135.468,-13.1,-47.379,0,-1
,SPX 13O1175,Mar13 1175 Puts,120911,16:00:00,1175,P,130315,0.256,18.17,16.9,19.3,-0.004,,5339,-7.153,0.041,213.343,-14.586,-101.95,0.002,-1
,SPX 12U1180D14,SepW3 1180 Puts,120911,16:00:00,1180,P,120914,,0.06,,0.05,,,4318,-0.028,0,0.997,-5.042,-0.034,0,-1
,SPX 12U1180,Sep 1180 Puts,120911,16:00:00,1180,P,120921,,0.16,0.05,0.15,,67,3652,-0.087,0.001,3.142,-6.132,-0.181,0,0.1
,SPX 12V1180D5,OctW1 1180 Puts,,,1180,P,121005,,0.34,,,,,,-0.296,0.004,8.766,-5.231,-0.859,0,
,SPX 12V1180D12,OctW2 1180 Puts,,,1180,P,121012,,0.61,,,,,,-0.486,0.006,14.547,-6.561,-1.715,0,
,SPX 12V1180,Oct 1180 Puts,120911,16:00:00,1180,P,121019,,0.79,0.25,1.35,0.013,,2681,-0.648,0.008,18.887,-6.879,-2.501,0,-1
,SPX 12W1180,Nov 1180 Puts,120911,16:00:00,1180,P,121116,0.263,2.67,1.95,3.3,-0.019,29,381,-1.83,0.018,52.125,-10.147,-10.671,0,2.5
,SPX 12X1180,Dec 1180 Puts,120911,16:00:00,1180,P,121221,0.253,6.12,5.2,6.8,-0.02,20,220,-3.504,0.028,99.997,-12.249,-28.858,0,6.1
,SPX 13O1180,Mar13 1180 Puts,120911,16:00:00,1180,P,130315,0.254,18.69,17.4,19.8,-0.005,,1046,-7.409,0.043,217.538,-14.78,-104.874,0.003,-1
,SPX 12U1185D14,SepW3 1185 Puts,,,1185,P,120914,,0.06,,,,,,-0.03,0,1.04,-5.192,-0.035,0,
,SPX 12U1185,Sep 1185 Puts,120911,16:00:00,1185,P,120921,,0.16,0.1,0.15,,31,924,-0.093,0.001,3.285,-6.325,-0.19,0,0.1
,SPX 12V1185D5,OctW1 1185 Puts,,,1185,P,121005,,0.36,,,,,,-0.32,0.004,9.261,-5.464,-0.914,0,
,SPX 12V1185D12,OctW2 1185 Puts,,,1185,P,121012,,0.64,,,,,,-0.523,0.006,15.299,-6.825,-1.818,0,
,SPX 12V1185,Oct 1185 Puts,120911,16:00:00,1185,P,121019,,0.84,0.3,1.4,0.012,,177,-0.696,0.008,19.854,-7.157,-2.652,0,-1
,SPX 12W1185,Nov 1185 Puts,120911,16:00:00,1185,P,121116,0.26,2.79,2,3.4,-0.032,,,-1.94,0.019,54.204,-10.381,-11.198,0,-1
,SPX 12U1190D14,SepW3 1190 Puts,120911,16:00:00,1190,P,120914,,0.07,,0.05,,,1504,-0.033,0,1.085,-5.352,-0.037,0,-1
,SPX 12U1190,Sep 1190 Puts,120911,16:00:00,1190,P,120921,,0.17,0.1,0.2,,132,3790,-0.1,0.001,3.438,-6.53,-0.2,0,0.15
,SPX 12V1190D5,OctW1 1190 Puts,120911,16:00:00,1190,P,121005,0.309,0.39,0.3,0.5,0.026,,,-0.346,0.005,9.79,-5.891,-0.974,0,-1
,SPX 12V1190D12,OctW2 1190 Puts,120911,16:00:00,1190,P,121012,0.29,0.67,0.35,0.9,-0.06,,,-0.562,0.007,16.098,-6.7,-1.928,0,-1
,SPX 12V1190,Oct 1190 Puts,120911,16:00:00,1190,P,121019,0.28,0.88,0.35,1.45,0.023,,1436,-0.748,0.009,20.878,-7.588,-2.813,0,-1
,SPX 12W1190,Nov 1190 Puts,120911,16:00:00,1190,P,121116,0.258,2.93,2.2,3.5,-0.027,,58,-2.058,0.02,56.369,-10.701,-11.754,0,-1
,SPX 13O1190,Mar13 1190 Puts,120911,16:00:00,1190,P,130315,0.251,19.78,18.5,20.9,-0.005,300,1027,-7.948,0.046,226.074,-15.168,-110.971,0.004,19.5
,SPX 12U1195D14,SepW3 1195 Puts,,,1195,P,120914,,0.07,,,,,,-0.035,0,1.134,-5.522,-0.039,0,
,SPX 12U1195,Sep 1195 Puts,120911,16:00:00,1195,P,120921,,0.18,0.1,0.2,,1,1454,-0.108,0.001,3.601,-6.746,-0.21,0,0.15
,SPX 12V1195D5,OctW1 1195 Puts,,,1195,P,121005,,0.41,,,,,,-0.374,0.005,10.355,-5.972,-1.039,0,
,SPX 12V1195D12,OctW2 1195 Puts,,,1195,P,121012,,0.71,,,,,,-0.605,0.007,16.945,-7.393,-2.047,0,
,SPX 12V1195,Oct 1195 Puts,120911,16:00:00,1195,P,121019,0.274,0.93,0.35,1.4,-0.054,,331,-0.804,0.01,21.962,-7.395,-2.985,0,-1
,SPX 12W1195,Nov 1195 Puts,120911,16:00:00,1195,P,121116,0.257,3.07,2.35,3.7,-0.013,,,-2.184,0.022,58.622,-11.191,-12.34,0,-1
,SPX 12U1200D14,SepW3 1200 Puts,120911,16:00:00,1200,P,120914,,0.07,,0.05,,7,4250,-0.038,0,1.186,-5.703,-0.041,0,-1
,SPX 12U1200,Sep 1200 Puts,120911,16:00:00,1200,P,120921,0.424,0.18,0.15,0.2,-0.056,1351,107292,-0.116,0.001,3.775,-6.549,-0.222,0,0.15
,SPX 12V1200D5,OctW1 1200 Puts,120911,16:00:00,1200,P,121005,0.301,0.43,0.35,0.55,0.047,712,197,-0.405,0.005,10.959,-6.442,-1.109,0,0.4
,SPX 12V1200D12,OctW2 1200 Puts,120911,16:00:00,1200,P,121012,0.281,0.75,0.4,0.95,-0.093,,,-0.652,0.008,17.845,-7.058,-2.174,0,-1
,SPX 12V1200,Oct 1200 Puts,120911,16:00:00,1200,P,121019,0.265,0.99,0.6,1,-0.182,3652,40781,-0.864,0.011,23.109,-6.922,-3.169,0,1
,SPX 12W1200,Nov 1200 Puts,120911,16:00:00,1200,P,121116,0.256,3.21,2.75,3.8,0.019,76,20988,-2.317,0.023,60.967,-11.78,-12.959,0,3.2
,SPX 12X1200,Dec 1200 Puts,120911,16:00:00,1200,P,121221,0.245,7.17,6.1,8,-0.017,808,189515,-4.264,0.035,113.018,-13.498,-33.89,0,7.05
,SPX 13M1200,Jan13 1200 Puts,120911,16:00:00,1200,P,130118,0.243,11.02,10,11.9,-0.006,,8115,-5.754,0.042,154.273,-14.389,-56.567,0.001,-1
,SPX 13O1200,Mar13 1200 Puts,120911,16:00:00,1200,P,130315,0.248,20.94,19.6,22.1,-0.004,,22557,-8.524,0.05,234.793,-15.554,-117.413,0.006,-1
,SPX 12U1205D14,SepW3 1205 Puts,,,1205,P,120914,,0.07,,,,,,-0.041,0.001,1.241,-5.896,-0.043,0,
,SPX 12U1205,Sep 1205 Puts,120911,16:00:00,1205,P,120921,0.418,0.19,0.15,0.2,-0.053,6,2806,-0.126,0.002,3.961,-6.837,-0.234,0,0.2
,SPX 12V1205D5,OctW1 1205 Puts,,,1205,P,121005,,0.46,,,,,,-0.439,0.006,11.604,-6.539,-1.184,0,
,SPX 12V1205D12,OctW2 1205 Puts,,,1205,P,121012,,0.8,,,,,,-0.703,0.009,18.8,-8.019,-2.311,0,
,SPX 12V1205,Oct 1205 Puts,120911,16:00:00,1205,P,121019,0.268,1.04,0.45,1.55,-0.038,,461,-0.93,0.012,24.323,-8.099,-3.367,0,-1
