20190218 19:57:56.066679 4 2 267 101 Max number of tickers has been reached 
20190218 19:57:56.067483 4 2 246 101 Max number of tickers has been reached 
20190218 19:57:56.068135 4 2 135 101 Max number of tickers has been reached 
20190218 19:57:56.068819 4 2 113 101 Max number of tickers has been reached 
20190218 19:57:56.069535 4 2 138 101 Max number of tickers has been reached 
20190218 19:57:56.071614 4 2 115 101 Max number of tickers has been reached 
20190218 19:57:56.072693 4 2 264 101 Max number of tickers has been reached 
20190218 19:57:56.073420 4 2 259 101 Max number of tickers has been reached 
20190218 19:57:56.074227 4 2 156 101 Max number of tickers has been reached 
20190218 19:57:56.074944 4 2 150 101 Max number of tickers has been reached 
20190218 19:57:56.075628 4 2 219 101 Max number of tickers has been reached 
20190218 19:57:56.076354 4 2 139 101 Max number of tickers has been reached 
20190218 19:57:56.077163 4 2 190 101 Max number of tickers has been reached 
20190218 19:57:56.077974 4 2 226 101 Max number of tickers has been reached 
20190218 19:57:56.078814 4 2 152 101 Max number of tickers has been reached 
20190218 19:57:56.079595 4 2 172 101 Max number of tickers has been reached 
20190218 19:57:56.080322 4 2 149 101 Max number of tickers has been reached 
20190218 19:57:56.081039 4 2 177 101 Max number of tickers has been reached 
20190218 19:57:56.081820 4 2 277 101 Max number of tickers has been reached 
20190218 19:57:56.082513 4 2 101 101 Max number of tickers has been reached 
20190218 19:57:56.083205 4 2 158 101 Max number of tickers has been reached 
20190218 19:57:56.084110 4 2 196 101 Max number of tickers has been reached 
20190218 19:57:56.084852 4 2 178 101 Max number of tickers has been reached 
20190218 19:57:56.085557 4 2 247 101 Max number of tickers has been reached 
20190218 19:57:56.086236 4 2 117 101 Max number of tickers has been reached 
20190218 19:57:56.087384 4 2 252 101 Max number of tickers has been reached 
20190218 19:57:56.088130 4 2 258 101 Max number of tickers has been reached 
20190218 19:57:56.088901 4 2 275 101 Max number of tickers has been reached 
20190218 19:57:56.089764 4 2 266 101 Max number of tickers has been reached 
20190218 19:57:56.090513 4 2 160 101 Max number of tickers has been reached 
20190218 19:57:56.091342 4 2 255 101 Max number of tickers has been reached 
20190218 19:57:56.092101 4 2 229 101 Max number of tickers has been reached 
20190218 19:57:56.092809 4 2 253 101 Max number of tickers has been reached 
20190218 19:57:56.093884 4 2 256 101 Max number of tickers has been reached 
20190218 19:57:56.094599 4 2 145 101 Max number of tickers has been reached 
20190218 19:57:56.095372 4 2 251 101 Max number of tickers has been reached 
20190218 19:57:56.096174 4 2 141 101 Max number of tickers has been reached 
20190218 19:57:56.096878 4 2 200 101 Max number of tickers has been reached 
20190218 19:57:56.097513 4 2 207 101 Max number of tickers has been reached 
20190218 19:57:56.098195 4 2 230 101 Max number of tickers has been reached 
20190218 19:57:56.098851 4 2 194 101 Max number of tickers has been reached 
20190218 19:57:56.099519 4 2 223 101 Max number of tickers has been reached 
20190218 19:57:56.100334 4 2 104 101 Max number of tickers has been reached 
20190218 19:57:56.100986 4 2 143 101 Max number of tickers has been reached 
20190218 19:57:56.101707 4 2 180 101 Max number of tickers has been reached 
20190218 19:57:56.102413 4 2 254 101 Max number of tickers has been reached 
20190218 19:57:56.103084 4 2 250 101 Max number of tickers has been reached 
20190218 19:57:56.103737 4 2 242 101 Max number of tickers has been reached 
